fpr,tpr,threshold,model
0.09245644877736935,0.5674603174603174,0.024774774774774775,Fixed_MUC5B_switch_hybrid
0.0974108997922327,0.5714285714285714,0.024282560706401765,Fixed_MUC5B_switch_hybrid
0.11307335783922007,0.5793650793650794,0.02386780905752754,Fixed_MUC5B_switch_hybrid
0.12865590538596772,0.5912698412698413,0.023838630806845965,Fixed_MUC5B_switch_hybrid
0.14583666293751,0.6111111111111112,0.021551724137931036,Fixed_MUC5B_switch_hybrid
0.15047147195141442,0.623015873015873,0.020560747663551402,Fixed_MUC5B_switch_hybrid
0.15662458046987374,0.6388888888888888,0.020454545454545454,Fixed_MUC5B_switch_hybrid
0.17348569602045708,0.6626984126984127,0.02,Fixed_MUC5B_switch_hybrid
0.17356560652069683,0.6626984126984127,0.01973103798616686,Fixed_MUC5B_switch_hybrid
0.18667092856001277,0.6626984126984127,0.01929260450160772,Fixed_MUC5B_switch_hybrid
0.19945660859836983,0.6666666666666666,0.019003931847968544,Fixed_MUC5B_switch_hybrid
0.21416014064248043,0.6904761904761905,0.018765133171912834,Fixed_MUC5B_switch_hybrid
0.22966277768898832,0.6984126984126984,0.018005540166204988,Fixed_MUC5B_switch_hybrid
0.2318203611954611,0.6984126984126984,0.01738122827346466,Fixed_MUC5B_switch_hybrid
0.24540514623621543,0.7182539682539683,0.015312916111850865,Fixed_MUC5B_switch_hybrid
0.25027968675083906,0.7182539682539683,0.014545454545454545,Fixed_MUC5B_switch_hybrid
0.25731181077193543,0.7222222222222222,0.013452914798206279,Fixed_MUC5B_switch_hybrid
0.29598849288796547,0.75,0.01332398316970547,Fixed_MUC5B_switch_hybrid
0.31772414895317247,0.7579365079365079,0.01314878892733564,Fixed_MUC5B_switch_hybrid
0.33170848649512547,0.7619047619047619,0.012987012987012988,Fixed_MUC5B_switch_hybrid
0.33170848649512547,0.7658730158730159,0.0128625973932934,Fixed_MUC5B_switch_hybrid
0.34960843854882534,0.7698412698412699,0.012550200803212851,Fixed_MUC5B_switch_hybrid
0.35775930957327795,0.7777777777777778,0.0125,Fixed_MUC5B_switch_hybrid
0.3655905385967716,0.7857142857142857,0.012048192771084338,Fixed_MUC5B_switch_hybrid
0.38564807415694424,0.7936507936507936,0.011770726714431934,Fixed_MUC5B_switch_hybrid
0.4054658782163976,0.8055555555555556,0.011686991869918699,Fixed_MUC5B_switch_hybrid
0.4055457887166374,0.8055555555555556,0.011276630020125989,Fixed_MUC5B_switch_hybrid
0.41385648074156944,0.8055555555555556,0.010901883052527254,Fixed_MUC5B_switch_hybrid
0.4241649352724948,0.8095238095238095,0.01085883514313919,Fixed_MUC5B_switch_hybrid
0.44406264983218796,0.8214285714285714,0.010736196319018405,Fixed_MUC5B_switch_hybrid
0.4636407223909222,0.8373015873015873,0.010552763819095477,Fixed_MUC5B_switch_hybrid
0.4814607639443823,0.8412698412698413,0.010506798516687269,Fixed_MUC5B_switch_hybrid
0.49712322199136966,0.8492063492063492,0.010442260442260442,Fixed_MUC5B_switch_hybrid
0.513984337541953,0.8571428571428571,0.010416666666666666,Fixed_MUC5B_switch_hybrid
0.528847690586543,0.8611111111111112,0.010378510378510378,Fixed_MUC5B_switch_hybrid
0.5289276010867828,0.8611111111111112,0.010266662076067667,Fixed_MUC5B_switch_hybrid
0.558015023174045,0.8968253968253969,0.010217113665389528,Fixed_MUC5B_switch_hybrid
0.5658462521975387,0.9007936507936508,0.009950248756218905,Fixed_MUC5B_switch_hybrid
0.5742368547227106,0.9087301587301587,0.009930486593843098,Fixed_MUC5B_switch_hybrid
0.5902189547706569,0.9246031746031746,0.007926829268292683,Fixed_MUC5B_switch_hybrid
0.6697299025091897,0.9325396825396826,0.004255836575875486,Fixed_MUC5B_switch_hybrid
0.7513984337541953,0.9444444444444444,0.003995157384987893,Fixed_MUC5B_switch_hybrid
0.8320281284960844,0.9603174603174603,0.0037530266343825665,Fixed_MUC5B_switch_hybrid
0.9172127217516381,0.9801587301587301,0.003525407245319718,Fixed_MUC5B_switch_hybrid
1.0,1.0,0.003516003879728419,Fixed_MUC5B_switch_hybrid
