group,PRS,ZeBRA_decile,N,mean_ZeBRA,mean_PRS,median_PRS,sd_PRS
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,2,36,0.6050518886996392,0.019114124103067082,-0.035216878740932586,0.8713916569414496
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,3,36,0.7769160658801413,-0.10470968712988028,-0.11960587935023076,1.174646322877749
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,4,36,0.8888015559745492,-0.26218350219582215,-0.4827843313406919,0.9821046935120827
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,5,36,0.9486251847387825,0.05630112691871504,-0.01621992764117993,1.145646347412601
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,6,36,0.982233621927989,0.21258273046378387,0.13236954130154965,1.1019644935398663
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,7,36,0.995670838296273,-0.20001414841599616,-0.5344773071952175,1.0414395154678469
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,8,36,0.9993564236764146,-0.08876992968428467,-0.06791290349570535,0.8417180574710719
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,9,36,0.9999701332948447,0.04394836487602475,0.08067656544702424,0.9420547611309151
Explicitly adjudicated FILD/FILA negative,PRS4_noMUC5B_z,10,36,1.0,0.10969029888792604,0.0027770234585727284,0.9293372099729842
FILD/FILA positive,PRS5_z,1,26,0.3745883778463756,0.6289629260781928,0.4531294241475604,1.2562558267307724
FILD/FILA positive,PRS5_z,2,25,0.590700567841798,0.6626132541714135,0.568307926623475,1.0910115522951622
FILD/FILA positive,PRS5_z,3,25,0.7740792138744778,0.5856120703006626,0.12121605474600688,1.552218619940505
FILD/FILA positive,PRS5_z,4,25,0.9079954086489832,0.40418584371083527,0.039911276037442434,1.276829007888676
FILD/FILA positive,PRS5_z,5,25,0.9788306762045635,0.571854568467424,0.6391547771507616,1.4166791271354269
FILD/FILA positive,PRS5_z,6,25,0.9953453901068546,0.5587665880314604,0.18481739419867085,1.2728031554774584
FILD/FILA positive,PRS5_z,7,25,0.9997660712619143,0.4719341354376512,0.4234018084622465,0.9646268567689447
FILD/FILA positive,PRS5_z,8,25,0.9999991692811149,0.31277348582646874,-0.26227447767879747,1.561133854639101
FILD/FILA positive,PRS5_z,9,25,1.0,0.15783310558213115,-0.19867313822613353,1.0662563959099893
FILD/FILA positive,PRS5_z,10,26,1.0,0.5555708090921956,0.274381985645145,1.2427991090744468
FILD/FILA positive,PRS4_noMUC5B_z,1,26,0.3745883778463756,0.5050782422823326,0.6869277531274464,1.100869001221411
FILD/FILA positive,PRS4_noMUC5B_z,2,25,0.590700567841798,0.512374824141434,0.7612224875988115,1.2000739917037162
FILD/FILA positive,PRS4_noMUC5B_z,3,25,0.7740792138744778,-0.021018446060935263,-0.01621992764117993,0.957774820454661
FILD/FILA positive,PRS4_noMUC5B_z,4,26,0.9100818488232799,0.0018871258890508537,-0.01621992764117993,1.0409337770629565
FILD/FILA positive,PRS4_noMUC5B_z,5,25,0.9799002203519206,0.04060017795553016,-0.01621992764117993,1.132425836718574
FILD/FILA positive,PRS4_noMUC5B_z,6,25,0.9956993304911164,-0.01151619843759796,0.021773974558325387,1.20677171573188
FILD/FILA positive,PRS4_noMUC5B_z,7,26,0.9997746560215681,0.025250567613300186,-0.06791290349570535,1.0069607822027438
FILD/FILA positive,PRS4_noMUC5B_z,8,25,0.9999995916879889,-0.10038095792395314,0.09437563910204434,1.0519629996546624
FILD/FILA positive,PRS4_noMUC5B_z,9,25,1.0,-0.0990497522705359,0.021773974558325387,0.9730247060665544
FILD/FILA positive,PRS4_noMUC5B_z,10,26,1.0,0.2494137432366118,0.021773974558325387,0.878853456049758
