target_name,repeat,model,split_seed,inner_cv_auc,params_json
FILD or FILA ADJUDICATED,14,combined,765374404,0.7414010950442229,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_bin"": 63, ""max_depth"": 3, ""min_child_samples"": 150, ""min_split_gain"": 0.5, ""n_estimators"": 100, ""num_leaves"": 63, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,15,genomic,901771067,0.613470447845009,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.12, ""max_bin"": 255, ""max_depth"": -1, ""min_child_samples"": 80, ""min_split_gain"": 0.01, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,15,combined,901771067,0.8233890214797136,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""min_split_gain"": 0.01, ""n_estimators"": 50, ""num_leaves"": 63, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,16,genomic,1505502923,0.6122888296129908,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_bin"": 63, ""max_depth"": 5, ""min_child_samples"": 20, ""min_split_gain"": 0.1, ""n_estimators"": 400, ""num_leaves"": 7, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,16,combined,1505502923,0.7804705414385325,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 63, ""max_depth"": 5, ""min_child_samples"": 10, ""min_split_gain"": 0.01, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,17,genomic,1370819842,0.5747051804015163,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 255, ""max_depth"": 3, ""min_child_samples"": 20, ""min_split_gain"": 0.0, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,17,combined,1370819842,0.7356421685619355,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_bin"": 255, ""max_depth"": 10, ""min_child_samples"": 20, ""min_split_gain"": 0.0, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,18,genomic,972220114,0.6040409003696944,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_bin"": 63, ""max_depth"": 14, ""min_child_samples"": 40, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,18,combined,972220114,0.8076945575366185,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.05, ""max_bin"": 63, ""max_depth"": 3, ""min_child_samples"": 20, ""min_split_gain"": 0.01, ""n_estimators"": 50, ""num_leaves"": 63, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,19,genomic,858936591,0.5600928915719033,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.12, ""max_bin"": 127, ""max_depth"": 5, ""min_child_samples"": 80, ""min_split_gain"": 0.01, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,19,combined,858936591,0.7746267958257288,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": 14, ""min_child_samples"": 40, ""min_split_gain"": 0.0, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,20,genomic,1937420067,0.6176412092283216,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.12, ""max_bin"": 255, ""max_depth"": -1, ""min_child_samples"": 80, ""min_split_gain"": 0.0, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,20,combined,1937420067,0.7958081800739389,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_bin"": 127, ""max_depth"": 7, ""min_child_samples"": 40, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,21,genomic,396721340,0.557899293368899,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_bin"": 127, ""max_depth"": 7, ""min_child_samples"": 40, ""min_split_gain"": 0.01, ""n_estimators"": 700, ""num_leaves"": 63, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,21,combined,396721340,0.7791368337311058,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_bin"": 127, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.0, ""n_estimators"": 50, ""num_leaves"": 7, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,22,genomic,1260135417,0.6731597173475595,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": 7, ""min_child_samples"": 10, ""min_split_gain"": 0.0, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,22,combined,1260135417,0.8182647760774954,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_bin"": 255, ""max_depth"": 14, ""min_child_samples"": 20, ""min_split_gain"": 0.1, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,23,genomic,2106134752,0.5979631709485703,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.12, ""max_bin"": 255, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.01, ""n_estimators"": 100, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,23,combined,2106134752,0.8147433197622725,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""max_bin"": 255, ""max_depth"": 10, ""min_child_samples"": 40, ""min_split_gain"": 0.1, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,24,genomic,106588613,0.6069715475689083,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_bin"": 511, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,24,combined,106588613,0.799961392671627,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.03, ""max_bin"": 255, ""max_depth"": 5, ""min_child_samples"": 150, ""min_split_gain"": 0.1, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,25,genomic,1319911130,0.5554892601431981,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.05, ""max_bin"": 63, ""max_depth"": 14, ""min_child_samples"": 10, ""min_split_gain"": 0.01, ""n_estimators"": 50, ""num_leaves"": 63, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,25,combined,1319911130,0.8064368945668958,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_bin"": 127, ""max_depth"": 3, ""min_child_samples"": 40, ""min_split_gain"": 0.1, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,26,genomic,389299636,0.6030640179699566,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.01, ""max_bin"": 127, ""max_depth"": 14, ""min_child_samples"": 10, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,26,combined,389299636,0.7964457859516121,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_bin"": 255, ""max_depth"": 5, ""min_child_samples"": 80, ""min_split_gain"": 0.1, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,27,genomic,858406618,0.6091066498198324,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": 14, ""min_child_samples"": 80, ""min_split_gain"": 0.0, ""n_estimators"": 100, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,27,combined,858406618,0.8159015396134589,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_bin"": 511, ""max_depth"": 5, ""min_child_samples"": 10, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,28,genomic,1550531150,0.582701577050868,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_bin"": 63, ""max_depth"": -1, ""min_child_samples"": 80, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 63, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,28,combined,1550531150,0.8148603116664327,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_bin"": 63, ""max_depth"": 10, ""min_child_samples"": 40, ""min_split_gain"": 0.5, ""n_estimators"": 200, ""num_leaves"": 127, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,29,genomic,61889481,0.5359282137676074,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": 14, ""min_child_samples"": 150, ""min_split_gain"": 0.1, ""n_estimators"": 400, ""num_leaves"": 7, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,29,combined,61889481,0.7833894894473303,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_bin"": 63, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.5, ""n_estimators"": 200, ""num_leaves"": 127, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,30,genomic,148875290,0.5252936496794423,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": 7, ""min_child_samples"": 80, ""min_split_gain"": 0.0, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
FILD or FILA ADJUDICATED,30,combined,148875290,0.756066030230708,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": 3, ""min_child_samples"": 40, ""min_split_gain"": 0.1, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.6}"
NONFIBROTIC ILD ADJUDICATED,1,genomic,677550801,0.740094461968773,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_bin"": 255, ""max_depth"": 7, ""min_child_samples"": 10, ""min_split_gain"": 0.01, ""n_estimators"": 100, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.9}"
NONFIBROTIC ILD ADJUDICATED,1,combined,677550801,0.8571021586325269,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.01, ""max_bin"": 255, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.0, ""n_estimators"": 400, ""num_leaves"": 63, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 0.6}"
NONFIBROTIC ILD ADJUDICATED,2,genomic,498999188,0.5769660938389833,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_bin"": 511, ""max_depth"": 7, ""min_child_samples"": 10, ""min_split_gain"": 0.0, ""n_estimators"": 50, ""num_leaves"": 63, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.75}"
NONFIBROTIC ILD ADJUDICATED,2,combined,498999188,0.6626165169448773,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": 5, ""min_child_samples"": 10, ""min_split_gain"": 0.01, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.6}"
NONFIBROTIC ILD ADJUDICATED,3,genomic,1883012675,0.7375444394156908,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_bin"": 255, ""max_depth"": 7, ""min_child_samples"": 80, ""min_split_gain"": 0.1, ""n_estimators"": 50, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
NONFIBROTIC ILD ADJUDICATED,3,combined,1883012675,0.8025857007583346,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_bin"": 511, ""max_depth"": 5, ""min_child_samples"": 10, ""min_split_gain"": 0.01, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
NONFIBROTIC ILD ADJUDICATED,4,genomic,732020924,0.6101039486856524,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_bin"": 255, ""max_depth"": 3, ""min_child_samples"": 150, ""min_split_gain"": 0.01, ""n_estimators"": 400, ""num_leaves"": 127, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
NONFIBROTIC ILD ADJUDICATED,4,combined,732020924,0.6463801292046275,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.08, ""max_bin"": 511, ""max_depth"": 10, ""min_child_samples"": 80, ""min_split_gain"": 0.0, ""n_estimators"": 700, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
NONFIBROTIC ILD ADJUDICATED,5,genomic,1370113701,0.62839742762086,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.12, ""max_bin"": 511, ""max_depth"": 7, ""min_child_samples"": 80, ""min_split_gain"": 0.1, ""n_estimators"": 200, ""num_leaves"": 63, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
NONFIBROTIC ILD ADJUDICATED,5,combined,1370113701,0.8311893501988111,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_bin"": 63, ""max_depth"": 14, ""min_child_samples"": 20, ""min_split_gain"": 0.1, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
NONFIBROTIC ILD ADJUDICATED,6,genomic,1301859205,0.6551339472228116,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.12, ""max_bin"": 511, ""max_depth"": 10, ""min_child_samples"": 150, ""min_split_gain"": 0.01, ""n_estimators"": 700, ""num_leaves"": 7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.6}"
NONFIBROTIC ILD ADJUDICATED,6,combined,1301859205,0.6410250312885384,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_bin"": 255, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.0, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
NONFIBROTIC ILD ADJUDICATED,7,genomic,1163929932,0.6268447856518596,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""max_bin"": 255, ""max_depth"": 3, ""min_child_samples"": 150, ""min_split_gain"": 0.0, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
NONFIBROTIC ILD ADJUDICATED,7,combined,1163929932,0.6897853882125253,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""max_bin"": 127, ""max_depth"": 5, ""min_child_samples"": 150, ""min_split_gain"": 0.5, ""n_estimators"": 400, ""num_leaves"": 127, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
NONFIBROTIC ILD ADJUDICATED,8,genomic,1979520626,0.6816058134069927,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_bin"": 511, ""max_depth"": 5, ""min_child_samples"": 150, ""min_split_gain"": 0.1, ""n_estimators"": 400, ""num_leaves"": 15, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.75}"
