target_name,model,requested_fpr,LR+,LR-,acc,npv,ppv,sensitivity,specificity
FILD or FILA ADJUDICATED,zebra,0.05,"8.647 (8.188, 9.414)","0.598 (0.557, 0.622)","0.940 (0.938, 0.941)","0.988 (0.987, 0.990)","0.150 (0.128, 0.169)","0.439 (0.362, 0.504)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,zebra,0.1,"5.539 (5.174, 5.988)","0.496 (0.446, 0.536)","0.893 (0.892, 0.894)","0.990 (0.989, 0.991)","0.099 (0.091, 0.110)","0.548 (0.490, 0.615)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,combined,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.045 (0.012, 0.116)","0.003 (0.000, 0.023)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,combined,0.005,"11.365 (4.887, 21.707)","0.948 (0.896, 0.980)","0.989 (0.989, 0.990)","0.994 (0.994, 0.995)","0.034 (0.012, 0.087)","0.027 (0.000, 0.085)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,combined,0.01,"11.364 (4.716, 18.012)","0.895 (0.828, 0.962)","0.985 (0.984, 0.985)","0.995 (0.994, 0.995)","0.029 (0.012, 0.074)","0.050 (0.000, 0.165)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,combined,0.02,,,"0.975 (0.974, 0.976)","0.995 (0.994, 0.995)","0.025 (0.012, 0.057)","0.081 (0.016, 0.211)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,combined,0.05,"2.727 (2.727, 2.727)","0.909 (0.909, 0.909)","0.946 (0.945, 0.946)","0.995 (0.995, 0.996)","0.020 (0.012, 0.034)","0.170 (0.091, 0.302)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,combined,0.1,"3.864 (3.864, 3.864)","0.682 (0.682, 0.682)","0.897 (0.896, 0.897)","0.995 (0.995, 0.996)","0.017 (0.010, 0.023)","0.290 (0.182, 0.422)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.008 (0.005, 0.023)","0.000 (0.000, 0.001)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.005,"4.546 (4.546, 4.546)","0.982 (0.982, 0.982)","0.989 (0.989, 0.989)","0.994 (0.994, 0.994)","0.008 (0.005, 0.019)","0.003 (0.000, 0.023)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.01,"2.273 (2.273, 2.273)","0.987 (0.987, 0.987)","0.984 (0.984, 0.984)","0.994 (0.994, 0.994)","0.007 (0.005, 0.013)","0.006 (0.000, 0.023)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.02,,,"0.974 (0.974, 0.975)","0.994 (0.994, 0.994)","0.007 (0.005, 0.011)","0.015 (0.000, 0.045)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.05,,,"0.945 (0.945, 0.945)","0.994 (0.994, 0.995)","0.007 (0.005, 0.010)","0.044 (0.016, 0.097)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.1,,,"0.895 (0.895, 0.896)","0.994 (0.994, 0.995)","0.006 (0.005, 0.009)","0.101 (0.023, 0.182)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.091 (0.061, 0.124)","0.018 (0.011, 0.025)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.005,,,"0.990 (0.990, 0.990)","0.995 (0.995, 0.995)","0.091 (0.061, 0.124)","0.088 (0.056, 0.123)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.01,"15.364 (11.317, 20.455)","0.855 (0.803, 0.896)","0.985 (0.985, 0.986)","0.995 (0.995, 0.995)","0.083 (0.058, 0.108)","0.158 (0.107, 0.211)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.02,"10.938 (9.091, 13.438)","0.797 (0.746, 0.835)","0.976 (0.975, 0.976)","0.995 (0.995, 0.996)","0.055 (0.044, 0.068)","0.207 (0.159, 0.256)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.05,"5.455 (5.455, 5.455)","0.766 (0.766, 0.766)","0.946 (0.946, 0.947)","0.996 (0.996, 0.996)","0.037 (0.029, 0.043)","0.333 (0.259, 0.393)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.1,"5.379 (5.023, 5.670)","0.513 (0.481, 0.553)","0.898 (0.897, 0.898)","0.997 (0.996, 0.997)","0.028 (0.023, 0.031)","0.499 (0.426, 0.574)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,combined,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.020 (0.001, 0.116)","0.006 (0.000, 0.062)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,combined,0.005,"31.255 (25.317, 37.193)","0.848 (0.818, 0.878)","0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.011 (0.001, 0.049)","0.020 (0.000, 0.142)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,combined,0.01,"12.500 (12.500, 12.500)","0.884 (0.884, 0.884)","0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.009 (0.001, 0.032)","0.032 (0.000, 0.159)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,combined,0.02,,,"0.978 (0.978, 0.978)","0.998 (0.998, 0.998)","0.007 (0.001, 0.017)","0.050 (0.000, 0.159)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,combined,0.05,,,"0.948 (0.948, 0.949)","0.998 (0.998, 0.998)","0.005 (0.001, 0.010)","0.116 (0.000, 0.250)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,combined,0.1,,,"0.899 (0.898, 0.899)","0.998 (0.998, 0.999)","0.004 (0.001, 0.008)","0.209 (0.000, 0.392)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.007 (0.000, 0.039)","0.002 (0.000, 0.019)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.005,,,"0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.004 (0.000, 0.014)","0.003 (0.000, 0.028)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.01,,,"0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.004 (0.000, 0.011)","0.003 (0.000, 0.038)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.02,,,"0.978 (0.978, 0.978)","0.998 (0.998, 0.998)","0.003 (0.000, 0.009)","0.019 (0.000, 0.125)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.05,"2.500 (2.500, 2.500)","0.921 (0.921, 0.921)","0.948 (0.948, 0.948)","0.998 (0.998, 0.998)","0.003 (0.000, 0.007)","0.049 (0.000, 0.188)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.1,,,"0.898 (0.898, 0.899)","0.998 (0.998, 0.998)","0.003 (0.000, 0.005)","0.102 (0.000, 0.250)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.038 (0.014, 0.060)","0.016 (0.004, 0.030)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.005,,,"0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.038 (0.014, 0.060)","0.082 (0.022, 0.152)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.01,"18.303 (12.194, 24.952)","0.825 (0.758, 0.887)","0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.037 (0.014, 0.053)","0.170 (0.044, 0.267)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.02,,,"0.978 (0.978, 0.979)","0.998 (0.998, 0.999)","0.023 (0.012, 0.033)","0.223 (0.108, 0.330)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.05,,,"0.949 (0.948, 0.949)","0.998 (0.998, 0.999)","0.013 (0.008, 0.018)","0.306 (0.188, 0.438)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.1,,,"0.899 (0.899, 0.900)","0.999 (0.999, 0.999)","0.011 (0.008, 0.014)","0.548 (0.438, 0.688)","0.900 (0.900, 0.900)"
