model,pred_w,target,n_pos,n_neg,AUC,tpr,ppv,npv,LR+,LR-
ILD,52,FILD or FILA ADJUDICATED,296,14619,$0.826 \pm 0.032$,$0.471 \pm 0.057$,$0.160 \pm 0.016$,$0.989 \pm 0.001$,$9.886 \pm 1.137$,$0.556 \pm 0.060$
FILD,52,FILD or FILA ADJUDICATED,296,14619,$0.821 \pm 0.033$,$0.448 \pm 0.057$,$0.153 \pm 0.016$,$0.988 \pm 0.001$,$10.927 \pm 1.133$,$0.580 \pm 0.060$
NFILD,52,FILD or FILA ADJUDICATED,296,14619,$0.787 \pm 0.032$,$0.275 \pm 0.051$,$0.100 \pm 0.017$,$0.985 \pm 0.001$,$5.607 \pm 1.018$,$0.763 \pm 0.054$
IPF,52,FILD or FILA ADJUDICATED,296,14619,$0.814 \pm 0.031$,$0.332 \pm 0.054$,$0.118 \pm 0.017$,$0.986 \pm 0.001$,$7.134 \pm 1.073$,$0.703 \pm 0.056$
ILD,52,NONFIBROTIC ILD ADJUDICATED,30,14619,$0.836 \pm 0.072$,$0.354 \pm 0.171$,$0.014 \pm 0.007$,$0.999 \pm 0.000$,$13.375 \pm 3.422$,$0.672 \pm 0.180$
FILD,52,NONFIBROTIC ILD ADJUDICATED,30,14619,$0.842 \pm 0.068$,$0.361 \pm 0.172$,$0.015 \pm 0.007$,$0.999 \pm 0.000$,$17.655 \pm 3.438$,$0.661 \pm 0.181$
NFILD,52,NONFIBROTIC ILD ADJUDICATED,30,14619,$0.832 \pm 0.072$,$0.301 \pm 0.164$,$0.012 \pm 0.007$,$0.999 \pm 0.000$,$7.575 \pm 3.283$,$0.727 \pm 0.173$
IPF,52,NONFIBROTIC ILD ADJUDICATED,30,14619,$0.834 \pm 0.059$,$0.219 \pm 0.148$,$0.009 \pm 0.006$,$0.998 \pm 0.000$,$16.064 \pm 2.959$,$0.798 \pm 0.156$
ILD,52,NON FIBROTIC ILA ADJUDICATED,81,14619,$0.820 \pm 0.056$,$0.335 \pm 0.103$,$0.036 \pm 0.011$,$0.996 \pm 0.001$,$9.464 \pm 2.055$,$0.698 \pm 0.108$
FILD,52,NON FIBROTIC ILA ADJUDICATED,81,14619,$0.824 \pm 0.056$,$0.363 \pm 0.105$,$0.039 \pm 0.011$,$0.996 \pm 0.001$,$7.955 \pm 2.095$,$0.670 \pm 0.110$
NFILD,52,NON FIBROTIC ILA ADJUDICATED,81,14619,$0.808 \pm 0.055$,$0.323 \pm 0.102$,$0.034 \pm 0.011$,$0.996 \pm 0.001$,$6.994 \pm 2.037$,$0.712 \pm 0.107$
IPF,52,NON FIBROTIC ILA ADJUDICATED,81,14619,$0.822 \pm 0.052$,$0.271 \pm 0.097$,$0.029 \pm 0.010$,$0.996 \pm 0.001$,$6.803 \pm 1.936$,$0.759 \pm 0.102$
ILD,78,FILD or FILA ADJUDICATED,286,14617,$0.805 \pm 0.034$,$0.422 \pm 0.057$,$0.141 \pm 0.017$,$0.988 \pm 0.001$,$8.725 \pm 1.145$,$0.608 \pm 0.060$
FILD,78,FILD or FILA ADJUDICATED,286,14617,$0.802 \pm 0.034$,$0.415 \pm 0.057$,$0.139 \pm 0.017$,$0.988 \pm 0.001$,$9.177 \pm 1.142$,$0.615 \pm 0.060$
NFILD,78,FILD or FILA ADJUDICATED,286,14617,$0.768 \pm 0.034$,$0.249 \pm 0.050$,$0.089 \pm 0.016$,$0.985 \pm 0.001$,$5.044 \pm 1.003$,$0.790 \pm 0.053$
IPF,78,FILD or FILA ADJUDICATED,286,14617,$0.801 \pm 0.032$,$0.296 \pm 0.053$,$0.103 \pm 0.017$,$0.986 \pm 0.001$,$6.802 \pm 1.058$,$0.738 \pm 0.056$
ILD,78,NONFIBROTIC ILD ADJUDICATED,30,14617,$0.812 \pm 0.078$,$0.297 \pm 0.164$,$0.012 \pm 0.007$,$0.998 \pm 0.000$,$7.563 \pm 3.270$,$0.733 \pm 0.172$
FILD,78,NONFIBROTIC ILD ADJUDICATED,30,14617,$0.798 \pm 0.079$,$0.301 \pm 0.164$,$0.012 \pm 0.007$,$0.999 \pm 0.000$,$9.031 \pm 3.283$,$0.728 \pm 0.173$
NFILD,78,NONFIBROTIC ILD ADJUDICATED,30,14617,$0.800 \pm 0.085$,$0.281 \pm 0.161$,$0.011 \pm 0.006$,$0.998 \pm 0.000$,$8.978 \pm 3.216$,$0.745 \pm 0.169$
IPF,78,NONFIBROTIC ILD ADJUDICATED,30,14617,$0.789 \pm 0.068$,$0.163 \pm 0.132$,$0.007 \pm 0.005$,$0.998 \pm 0.000$,$10.883 \pm 2.646$,$0.859 \pm 0.139$
ILD,78,NON FIBROTIC ILA ADJUDICATED,79,14617,$0.814 \pm 0.057$,$0.310 \pm 0.102$,$0.032 \pm 0.010$,$0.996 \pm 0.001$,$9.992 \pm 2.039$,$0.723 \pm 0.107$
FILD,78,NON FIBROTIC ILA ADJUDICATED,79,14617,$0.811 \pm 0.058$,$0.334 \pm 0.104$,$0.035 \pm 0.010$,$0.996 \pm 0.001$,$8.678 \pm 2.080$,$0.698 \pm 0.109$
NFILD,78,NON FIBROTIC ILA ADJUDICATED,79,14617,$0.797 \pm 0.057$,$0.267 \pm 0.098$,$0.028 \pm 0.010$,$0.996 \pm 0.001$,$5.587 \pm 1.951$,$0.771 \pm 0.103$
IPF,78,NON FIBROTIC ILA ADJUDICATED,79,14617,$0.812 \pm 0.054$,$0.251 \pm 0.096$,$0.026 \pm 0.010$,$0.996 \pm 0.001$,$5.168 \pm 1.913$,$0.788 \pm 0.101$
ILD,104,FILD or FILA ADJUDICATED,277,14615,$0.785 \pm 0.037$,$0.409 \pm 0.058$,$0.134 \pm 0.016$,$0.988 \pm 0.001$,$8.272 \pm 1.158$,$0.621 \pm 0.061$
FILD,104,FILD or FILA ADJUDICATED,277,14615,$0.776 \pm 0.037$,$0.386 \pm 0.057$,$0.127 \pm 0.017$,$0.988 \pm 0.001$,$17.634 \pm 1.147$,$0.645 \pm 0.060$
NFILD,104,FILD or FILA ADJUDICATED,277,14615,$0.748 \pm 0.036$,$0.229 \pm 0.049$,$0.080 \pm 0.016$,$0.985 \pm 0.001$,$4.720 \pm 0.990$,$0.811 \pm 0.052$
IPF,104,FILD or FILA ADJUDICATED,277,14615,$0.779 \pm 0.035$,$0.267 \pm 0.052$,$0.092 \pm 0.016$,$0.986 \pm 0.001$,$5.363 \pm 1.042$,$0.772 \pm 0.055$
ILD,104,NONFIBROTIC ILD ADJUDICATED,29,14615,$0.811 \pm 0.084$,$0.314 \pm 0.169$,$0.012 \pm 0.007$,$0.999 \pm 0.000$,$9.139 \pm 3.380$,$0.713 \pm 0.178$
FILD,104,NONFIBROTIC ILD ADJUDICATED,29,14615,$0.803 \pm 0.080$,$0.297 \pm 0.166$,$0.012 \pm 0.006$,$0.999 \pm 0.000$,$7.228 \pm 3.325$,$0.735 \pm 0.175$
NFILD,104,NONFIBROTIC ILD ADJUDICATED,29,14615,$0.785 \pm 0.092$,$0.246 \pm 0.157$,$0.010 \pm 0.006$,$0.998 \pm 0.000$,$6.654 \pm 3.135$,$0.785 \pm 0.165$
IPF,104,NONFIBROTIC ILD ADJUDICATED,29,14615,$0.785 \pm 0.078$,$0.189 \pm 0.142$,$0.007 \pm 0.006$,$0.998 \pm 0.000$,$4.006 \pm 2.849$,$0.851 \pm 0.150$
ILD,104,NON FIBROTIC ILA ADJUDICATED,77,14615,$0.801 \pm 0.061$,$0.301 \pm 0.102$,$0.031 \pm 0.010$,$0.996 \pm 0.001$,$11.148 \pm 2.049$,$0.734 \pm 0.108$
FILD,104,NON FIBROTIC ILA ADJUDICATED,77,14615,$0.797 \pm 0.062$,$0.307 \pm 0.103$,$0.031 \pm 0.010$,$0.996 \pm 0.001$,$6.510 \pm 2.061$,$0.728 \pm 0.108$
NFILD,104,NON FIBROTIC ILA ADJUDICATED,77,14615,$0.785 \pm 0.062$,$0.275 \pm 0.100$,$0.028 \pm 0.010$,$0.996 \pm 0.001$,$6.093 \pm 1.995$,$0.759 \pm 0.105$
IPF,104,NON FIBROTIC ILA ADJUDICATED,77,14615,$0.795 \pm 0.061$,$0.242 \pm 0.096$,$0.025 \pm 0.010$,$0.996 \pm 0.001$,$5.219 \pm 1.912$,$0.797 \pm 0.101$
