target_name,repeat,split_seed,model,n_test,n_positive,n_negative,observed_prevalence,performance_prevalence,zedstat_auc,zedstat_auc_ci_low,zedstat_auc_ci_high,brier_score,calibration_intercept,calibration_slope,expected_calibration_error,max_calibration_error,mean_predicted_risk,observed_to_expected_ratio,sklearn_auc_check,auc_zedstat_minus_sklearn
NON FIBROTIC ILA ADJUDICATED,4,341467629,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.519395090909091,0.4328408307532925,0.6059493510648895,0.010422326263736586,-5.010299441493286,0.02688354335501052,0.034818168739294816,0.17253271871825404,0.036599729048241415,0.1562306292737319,0.5192814961799408,0.00011359472915017932
NON FIBROTIC ILA ADJUDICATED,4,341467629,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7376723863636364,0.6528601918874476,0.8224845808398252,0.010893667623404562,-3.074849099450604,0.6798731381646226,0.04600419504886589,0.17468542613469445,0.05172219374932073,0.11055213025510806,0.737663525861147,8.86050248938286e-06
NON FIBROTIC ILA ADJUDICATED,5,1440575860,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8300776477272727,0.7552683564254515,0.9048869390290938,0.41460730068899343,-5.579696941027481,0.13188966477871747,0.5842199462697044,0.9656548591763107,0.5899379449701594,0.009692542663523826,0.8300548947849954,2.2752942277270982e-05
NON FIBROTIC ILA ADJUDICATED,5,1440575860,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.4712731590909091,0.38753236371805083,0.5550139544637674,0.03879854211628143,-5.241200154890872,-0.014590213326298689,0.08160109255254959,0.501533065703593,0.08078535030134848,0.07078014366621364,0.4712396478178729,3.3511273036190836e-05
NON FIBROTIC ILA ADJUDICATED,5,1440575860,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7108384999999999,0.624350458997089,0.7973265410029109,0.007024443226750553,-2.8519505076181018,0.5836776377476358,0.01821995932055601,0.09608282544755138,0.02393795802101085,0.23886743787569653,0.7107537933246991,8.470667530080522e-05
NON FIBROTIC ILA ADJUDICATED,6,128169765,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8323636069518716,0.7579019722653335,0.9068252416384097,0.4125864494247362,-5.558437556701938,0.13099275870141736,0.5829895004915175,0.9659641262701153,0.5887074991919723,0.00971280085323026,0.8322708855645726,9.272138729898849e-05
NON FIBROTIC ILA ADJUDICATED,6,128169765,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.4987449152484842,0.41326906961843635,0.584220760878532,0.10007795954278638,-5.077320872086479,0.0037155530624740293,0.10031549152906827,0.9518541653811555,0.09589703799490565,0.05962643706220206,0.49873159777093906,1.3317477545127243e-05
NON FIBROTIC ILA ADJUDICATED,6,128169765,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7828691136363637,0.7020445439800197,0.8636936832927077,0.009123454375983648,-2.5997718269110726,0.776426515619768,0.03296000071213322,0.1477478260031008,0.03867799941258806,0.14783594775571235,0.7827942871401242,7.482649623946624e-05
NON FIBROTIC ILA ADJUDICATED,7,1110569852,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7867033437900127,0.7062912710404826,0.8671154165395428,0.412944875741694,-5.475045046748582,0.115762219719439,0.5826558818016148,0.972867021309323,0.5883738805020696,0.009718308187942629,0.7866722710043844,3.107278562830551e-05
NON FIBROTIC ILA ADJUDICATED,7,1110569852,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.47101025,0.387287700217395,0.554732799782605,0.017483349575632048,-5.312671721025675,-0.027649498565713596,0.050894081021129745,0.2791314369036978,0.05152825390422796,0.11096822164947592,0.470960421097658,4.982890234200843e-05
NON FIBROTIC ILA ADJUDICATED,7,1110569852,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7166351818181819,0.6304688034952778,0.802801560141086,0.007605749000209741,-3.033291905399546,0.5282771647867822,0.018552311891438102,0.10814594586625005,0.024270310591892944,0.2355964370050062,0.7165670559998099,6.812581837201126e-05
NON FIBROTIC ILA ADJUDICATED,8,576281321,zebra,7695,44,7651,0.005717998700454841,0.005717998700454841,0.8251539676696543,0.7496150810506903,0.9006928542886183,0.41271104955279275,-5.550795448717738,0.12786631052622732,0.582487883970788,0.9675083735332123,0.5882058826712427,0.009721083839705014,0.8250986205011823,5.53471684719975e-05
NON FIBROTIC ILA ADJUDICATED,8,576281321,genomic,7695,44,7651,0.005717998700454841,0.005717998700454841,0.44537863636363634,0.36358296936349016,0.5271743033637826,0.011473531054878696,-5.535190088090438,-0.02513357864765258,0.014764685930581238,0.0989594854459194,0.010758070091084244,0.5315078496461587,0.4452982973111061,8.033905253024276e-05
NON FIBROTIC ILA ADJUDICATED,8,576281321,combined,7695,44,7651,0.005717998700454841,0.005717998700454841,0.7907413636363638,0.7107772696589651,0.8707054576137625,0.00965219278123456,-2.291971012102646,0.9798640451940547,0.04265923866996173,0.16202283992373873,0.048377237370416576,0.11819605689082785,0.7906393697793515,0.0001019938570123724
