target_name,model,requested_fpr,metric,n_repeats,mean,sd,median,q025,q975
FILD or FILA ADJUDICATED,combined,0.005,ppv_upper,30,0.5427027830047266,0.07375485908363262,0.5472600998162334,0.41884507144682487,0.6612981524109732
FILD or FILA ADJUDICATED,combined,0.005,acc_upper,30,0.9818070038340215,0.0014154956415889076,0.9818248084968508,0.9797937431298755,0.9844890700303722
FILD or FILA ADJUDICATED,combined,0.005,npv_upper,30,0.9852495503804275,0.0014074587787468575,0.9852653179621451,0.9832507346590409,0.9879206009867073
FILD or FILA ADJUDICATED,combined,0.005,LR+_upper,20,72.70616677524397,19.053450939874068,74.25563148296928,41.730244342124685,105.43647255723575
FILD or FILA ADJUDICATED,combined,0.005,LR-_upper,20,0.8643409059954743,0.05475697554404397,0.8619937019721753,0.7660624948533827,0.9486399839763315
FILD or FILA ADJUDICATED,combined,0.005,threshold_upper,30,0.66782447248184,0.18097243756051673,0.7320515521865447,0.32574442259153513,0.8677358201907032
FILD or FILA ADJUDICATED,combined,0.005,expected_fp_upper,30,37.715,1.319444736062194e-15,37.715,37.715,37.715
FILD or FILA ADJUDICATED,combined,0.005,expected_tn_upper,30,7505.285000000001,9.250427460130737e-13,7505.285,7505.285,7505.285
FILD or FILA ADJUDICATED,combined,0.005,expected_flags_upper,30,66.76766666666666,9.965654703939974,66.715,52.89,86.011625
FILD or FILA ADJUDICATED,combined,0.005,fpr_lower,30,0.005000000000000001,8.821895084505784e-19,0.005,0.005,0.005
FILD or FILA ADJUDICATED,combined,0.005,tpr_lower,30,0.1378428594070307,0.0562674938446568,0.13626575693581178,0.0616645373251664,0.24903182334235907
FILD or FILA ADJUDICATED,combined,0.005,ppv_lower,30,0.31289540445591796,0.08245284646898776,0.30637512076068996,0.17920798201439167,0.45601909706160915
FILD or FILA ADJUDICATED,combined,0.005,acc_lower,30,0.9762422110426491,0.001111454028661804,0.9762110552571344,0.9747374509191463,0.9784385331120785
FILD or FILA ADJUDICATED,combined,0.005,npv_lower,30,0.9828084573281487,0.0011033265830545371,0.9827763622071337,0.9813165450275603,0.9849913241737295
FILD or FILA ADJUDICATED,combined,0.005,LR+_lower,20,20.631370060447985,7.923649633262515,20.970700011517764,8.43301280996303,34.85378953803253
FILD or FILA ADJUDICATED,combined,0.005,LR-_lower,20,0.7380095928020449,0.06961988605673226,0.7323439715162201,0.618427355914358,0.8511958643480962
FILD or FILA ADJUDICATED,combined,0.005,threshold_lower,30,0.66782447248184,0.18097243756051673,0.7320515521865447,0.32574442259153513,0.8677358201907032
FILD or FILA ADJUDICATED,combined,0.005,expected_fp_lower,30,37.715,1.319444736062194e-15,37.715,37.715,37.715
FILD or FILA ADJUDICATED,combined,0.005,expected_tn_lower,30,7505.285000000001,9.250427460130737e-13,7505.285,7505.285,7505.285
FILD or FILA ADJUDICATED,combined,0.005,expected_flags_lower,30,66.76766666666666,9.965654703939974,66.715,52.89,86.011625
FILD or FILA ADJUDICATED,combined,0.005,sensitivity,30,0.19113596491228071,0.06556351778907878,0.1907894736842105,0.09983552631578947,0.3177409539473684
FILD or FILA ADJUDICATED,combined,0.005,specificity,30,0.9950000000000002,2.2584051416334807e-16,0.995,0.995,0.995
FILD or FILA ADJUDICATED,combined,0.01,tpr,30,0.2589605263157894,0.05372834228359308,0.2565789473684211,0.16200657894736842,0.3430049342105263
FILD or FILA ADJUDICATED,combined,0.01,ppv,30,0.33929305787553155,0.04829784925486089,0.3412836728488903,0.2450708205544734,0.4086318953238568
FILD or FILA ADJUDICATED,combined,0.01,acc,30,0.9755597141000649,0.0010613005883178918,0.9755126705653021,0.9736445743989603,0.9772198505523068
FILD or FILA ADJUDICATED,combined,0.01,npv,30,0.9851416188710391,0.001061091376511524,0.9850934691610292,0.9832290615055989,0.9868035793165175
FILD or FILA ADJUDICATED,combined,0.01,LR+,20,26.73975217105263,5.454903843688121,26.645882565789474,16.449858240131583,34.723670296052624
FILD or FILA ADJUDICATED,combined,0.01,LR-,20,0.7400119431632015,0.05509761059298932,0.7409622573769328,0.6593616084888624,0.8439376326919501
FILD or FILA ADJUDICATED,combined,0.01,threshold,30,0.6086476992188494,0.16673611001550742,0.6631854272865689,0.3010634046147753,0.792767335233799
FILD or FILA ADJUDICATED,combined,0.01,expected_fp,30,75.43,0.0,75.43,75.43,75.43
FILD or FILA ADJUDICATED,combined,0.01,expected_tn,30,7467.5700000000015,1.8500854920261474e-12,7467.57,7467.57,7467.57
FILD or FILA ADJUDICATED,combined,0.01,expected_flags,30,114.79199999999997,8.166708027106147,114.43,100.055,127.56675000000001
FILD or FILA ADJUDICATED,combined,0.01,fpr,30,0.010000000000000002,1.7643790169011568e-18,0.01,0.01,0.01
FILD or FILA ADJUDICATED,combined,0.01,tpr_upper,30,0.33328127426545995,0.05719428210772635,0.33141131282701675,0.2287003620032695,0.42149489101248716
FILD or FILA ADJUDICATED,combined,0.01,ppv_upper,30,0.4295160076720209,0.0467196700221898,0.43179502179643336,0.3383814262867548,0.49541015113989323
FILD or FILA ADJUDICATED,combined,0.01,acc_upper,30,0.9789973020836791,0.0011297635971896512,0.978960364573784,0.9769315062859075,0.9807397932786822
FILD or FILA ADJUDICATED,combined,0.01,npv_upper,30,0.9866388647935636,0.0011305992194262442,0.9866006358033443,0.9845740387509534,0.9883850851736805
FILD or FILA ADJUDICATED,combined,0.01,LR+_upper,20,42.82581423812577,7.25433927398986,42.780575431254945,28.94339507822546,53.291031261926165
FILD or FILA ADJUDICATED,combined,0.01,LR-_upper,20,0.8060342213553348,0.04906996930047372,0.8075240852675973,0.7329993240070641,0.8969564123581811
FILD or FILA ADJUDICATED,combined,0.01,threshold_upper,30,0.6086476992188494,0.16673611001550742,0.6631854272865689,0.3010634046147753,0.792767335233799
FILD or FILA ADJUDICATED,combined,0.01,expected_fp_upper,30,75.43,0.0,75.43,75.43,75.43
FILD or FILA ADJUDICATED,combined,0.01,expected_tn_upper,30,7467.5700000000015,1.8500854920261474e-12,7467.57,7467.57,7467.57
FILD or FILA ADJUDICATED,combined,0.01,expected_flags_upper,30,114.79199999999997,8.166708027106147,114.43,100.055,127.56675000000001
FILD or FILA ADJUDICATED,combined,0.01,fpr_lower,30,0.010000000000000002,1.7643790169011568e-18,0.01,0.01,0.01
FILD or FILA ADJUDICATED,combined,0.01,tpr_lower,30,0.1965229219060551,0.04762641078748507,0.19374713627899498,0.11197572780271307,0.272254767382892
FILD or FILA ADJUDICATED,combined,0.01,ppv_lower,30,0.25975389383053765,0.04567220418843176,0.26129491627919066,0.1772392467931737,0.32720009176358944
