target_name,model,requested_fpr,LR+,LR-,acc,npv,ppv,sensitivity,specificity
FILD or FILA ADJUDICATED,genomic,0.05,"2.763 (2.763, 2.763)","0.907 (0.907, 0.907)","0.933 (0.932, 0.934)","0.981 (0.980, 0.982)","0.035 (0.022, 0.055)","0.090 (0.044, 0.145)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,genomic,0.1,"2.171 (2.171, 2.171)","0.870 (0.870, 0.870)","0.885 (0.884, 0.887)","0.981 (0.980, 0.983)","0.031 (0.022, 0.045)","0.156 (0.090, 0.246)","0.900 (0.900, 0.900)"
FILD or FILA ADJUDICATED,zebra,0.001,,,"0.981 (0.980, 0.981)","0.982 (0.981, 0.982)","0.566 (0.511, 0.619)","0.065 (0.052, 0.081)","0.999 (0.999, 0.999)"
FILD or FILA ADJUDICATED,zebra,0.005,"57.927 (51.214, 65.042)","0.714 (0.678, 0.748)","0.981 (0.980, 0.982)","0.986 (0.985, 0.986)","0.538 (0.502, 0.566)","0.290 (0.250, 0.324)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,zebra,0.01,"29.771 (26.120, 33.209)","0.709 (0.675, 0.746)","0.976 (0.975, 0.977)","0.986 (0.985, 0.986)","0.373 (0.339, 0.396)","0.295 (0.255, 0.326)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,zebra,0.02,"16.960 (15.132, 18.727)","0.674 (0.638, 0.712)","0.967 (0.967, 0.968)","0.987 (0.986, 0.987)","0.255 (0.234, 0.278)","0.340 (0.303, 0.382)","0.980 (0.980, 0.980)"
FILD or FILA ADJUDICATED,zebra,0.05,"8.737 (7.984, 9.589)","0.593 (0.548, 0.632)","0.940 (0.939, 0.941)","0.988 (0.987, 0.989)","0.152 (0.139, 0.164)","0.443 (0.400, 0.487)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,zebra,0.1,"5.488 (5.166, 5.837)","0.501 (0.463, 0.537)","0.893 (0.892, 0.894)","0.990 (0.989, 0.991)","0.098 (0.093, 0.104)","0.541 (0.508, 0.573)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,combined,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.052 (0.011, 0.146)","0.007 (0.000, 0.029)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,combined,0.005,"10.607 (4.773, 17.730)","0.952 (0.916, 0.981)","0.989 (0.989, 0.990)","0.994 (0.994, 0.995)","0.034 (0.011, 0.092)","0.023 (0.000, 0.091)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,combined,0.01,"9.091 (4.773, 13.410)","0.918 (0.875, 0.962)","0.985 (0.984, 0.985)","0.994 (0.994, 0.995)","0.027 (0.011, 0.051)","0.044 (0.000, 0.103)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,combined,0.02,"7.386 (5.767, 9.006)","0.870 (0.837, 0.903)","0.975 (0.974, 0.975)","0.995 (0.994, 0.995)","0.023 (0.011, 0.045)","0.077 (0.016, 0.188)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,combined,0.05,"4.091 (4.091, 4.091)","0.837 (0.837, 0.837)","0.946 (0.945, 0.946)","0.995 (0.994, 0.996)","0.019 (0.011, 0.028)","0.165 (0.066, 0.256)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,combined,0.1,"3.523 (3.415, 3.631)","0.720 (0.708, 0.732)","0.896 (0.896, 0.897)","0.995 (0.995, 0.996)","0.016 (0.011, 0.023)","0.281 (0.140, 0.399)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.012 (0.004, 0.054)","0.001 (0.000, 0.009)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.005,"6.819 (4.660, 8.978)","0.971 (0.960, 0.982)","0.989 (0.989, 0.989)","0.994 (0.994, 0.994)","0.010 (0.004, 0.034)","0.004 (0.000, 0.029)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.01,"3.409 (2.330, 4.489)","0.976 (0.965, 0.987)","0.984 (0.984, 0.985)","0.994 (0.994, 0.994)","0.009 (0.004, 0.025)","0.009 (0.000, 0.045)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.02,,,"0.974 (0.974, 0.975)","0.994 (0.994, 0.994)","0.007 (0.004, 0.016)","0.017 (0.000, 0.052)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.05,,,"0.945 (0.945, 0.945)","0.994 (0.994, 0.995)","0.006 (0.004, 0.014)","0.044 (0.000, 0.143)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.1,,,"0.895 (0.895, 0.896)","0.994 (0.994, 0.995)","0.006 (0.004, 0.010)","0.077 (0.039, 0.172)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.089 (0.049, 0.128)","0.017 (0.009, 0.026)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.005,,,"0.990 (0.990, 0.990)","0.995 (0.995, 0.995)","0.089 (0.049, 0.128)","0.085 (0.045, 0.128)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.01,"15.525 (11.223, 21.933)","0.853 (0.789, 0.897)","0.985 (0.985, 0.986)","0.995 (0.995, 0.996)","0.081 (0.043, 0.116)","0.155 (0.078, 0.227)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.02,"9.943 (6.903, 14.432)","0.817 (0.726, 0.880)","0.976 (0.975, 0.976)","0.995 (0.995, 0.996)","0.054 (0.031, 0.074)","0.201 (0.124, 0.279)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.05,"7.614 (6.852, 8.568)","0.652 (0.602, 0.692)","0.947 (0.946, 0.947)","0.996 (0.995, 0.996)","0.038 (0.027, 0.046)","0.348 (0.238, 0.415)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.1,"5.177 (4.455, 5.455)","0.536 (0.505, 0.616)","0.898 (0.897, 0.898)","0.997 (0.996, 0.997)","0.027 (0.023, 0.031)","0.499 (0.419, 0.558)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,combined,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.014 (0.002, 0.065)","0.003 (0.000, 0.024)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,combined,0.005,,,"0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.011 (0.002, 0.047)","0.019 (0.000, 0.125)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,combined,0.01,"6.250 (6.250, 6.250)","0.947 (0.947, 0.947)","0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.009 (0.002, 0.029)","0.031 (0.000, 0.142)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,combined,0.02,,,"0.978 (0.978, 0.978)","0.998 (0.998, 0.998)","0.007 (0.002, 0.015)","0.052 (0.000, 0.188)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,combined,0.05,,,"0.948 (0.948, 0.949)","0.998 (0.998, 0.998)","0.006 (0.002, 0.011)","0.130 (0.000, 0.267)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,combined,0.1,,,"0.899 (0.898, 0.899)","0.998 (0.998, 0.999)","0.005 (0.002, 0.008)","0.236 (0.045, 0.438)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.006 (0.001, 0.027)","0.002 (0.000, 0.019)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.005,,,"0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.004 (0.001, 0.014)","0.003 (0.000, 0.029)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.01,"6.250 (6.250, 6.250)","0.947 (0.947, 0.947)","0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.004 (0.001, 0.013)","0.008 (0.000, 0.080)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.02,,,"0.978 (0.978, 0.978)","0.998 (0.998, 0.998)","0.004 (0.001, 0.011)","0.022 (0.000, 0.125)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.05,"3.750 (3.750, 3.750)","0.855 (0.855, 0.855)","0.948 (0.948, 0.948)","0.998 (0.998, 0.998)","0.003 (0.001, 0.008)","0.062 (0.000, 0.188)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.1,,,"0.898 (0.898, 0.899)","0.998 (0.998, 0.998)","0.003 (0.001, 0.005)","0.103 (0.000, 0.250)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.033 (0.010, 0.048)","0.013 (0.004, 0.021)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.005,,,"0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.033 (0.010, 0.048)","0.067 (0.021, 0.104)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.01,"13.897 (6.101, 24.063)","0.870 (0.767, 0.948)","0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.032 (0.010, 0.048)","0.145 (0.042, 0.250)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.02,,,"0.978 (0.978, 0.979)","0.998 (0.998, 0.999)","0.021 (0.007, 0.032)","0.200 (0.045, 0.312)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.05,,,"0.949 (0.948, 0.949)","0.998 (0.998, 0.999)","0.012 (0.007, 0.016)","0.281 (0.153, 0.392)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.1,,,"0.899 (0.899, 0.899)","0.999 (0.998, 0.999)","0.010 (0.006, 0.013)","0.485 (0.312, 0.625)","0.900 (0.900, 0.900)"
