repeat,split_seed,region,N,cases,carrier_case_N,carrier_control_N,noncarrier_case_N,noncarrier_control_N,MUC5B_OR,fisher_OR,fisher_p
12,1462602459,P65_P75,511,10,4,102,6,399,2.607843137254902,2.607843137254902,0.22778848129499563
12,1462602459,P85_P95,510,19,8,85,11,406,3.47379679144385,3.47379679144385,0.01199577458735832
13,873316549,P00_P50,2552,15,4,480,11,2057,1.5583333333333333,1.5583333333333333,0.5046819278537432
13,873316549,P65_P75,511,11,6,94,5,406,5.182978723404255,5.182978723404255,0.0096631628166854
13,873316549,P85_P95,510,15,8,91,7,404,5.073783359497646,5.073783359497646,0.003007726140834966
14,1255706043,P00_P50,2552,18,9,489,9,2045,4.18200408997955,4.18200408997955,0.0034520421940608618
14,1255706043,P65_P75,511,7,4,102,3,402,5.254901960784314,5.254901960784314,0.0367167923931151
14,1255706043,P85_P95,510,18,11,88,7,404,7.214285714285714,7.214285714285714,8.542691835457377e-05
15,1401750917,P00_P50,2552,16,7,517,9,2019,3.0373952288845905,3.0373952288845905,0.03007556130347732
15,1401750917,P65_P75,511,6,3,104,3,401,3.855769230769231,3.855769230769231,0.10953670937673181
15,1401750917,P85_P95,510,13,9,90,4,407,10.175,10.175,0.00010205278126306611
16,1196189380,P00_P50,2552,14,7,497,7,2041,4.106639839034205,4.106639839034205,0.0106176057823416
16,1196189380,P65_P75,511,9,7,89,2,413,16.241573033707866,16.241573033707866,0.0001771185415507263
16,1196189380,P85_P95,510,16,9,98,7,396,5.19533527696793,5.19533527696793,0.0017691956815443668
17,2060917766,P00_P50,2552,13,7,501,6,2038,4.745841650033267,4.745841650033267,0.006676938430647737
17,2060917766,P65_P75,511,12,4,92,8,407,2.2119565217391304,2.2119565217391304,0.2517623102042144
17,2060917766,P85_P95,510,18,8,90,10,402,3.5733333333333333,3.5733333333333333,0.011381635159036237
18,448991691,P00_P50,2552,11,3,506,8,2035,1.5081521739130435,1.5081521739130435,0.4668568748018471
18,448991691,P65_P75,511,10,3,99,7,402,1.7402597402597402,1.7402597402597402,0.4259272619402973
18,448991691,P85_P95,510,22,12,102,10,386,4.541176470588235,4.541176470588235,0.0007717139026725441
19,238819458,P00_P50,2552,16,10,490,6,2046,6.959183673469388,6.959183673469388,0.0001962388206895978
19,238819458,P65_P75,511,6,4,101,2,404,8.0,8.0,0.018068021337897856
19,238819458,P85_P95,510,12,6,97,6,401,4.134020618556701,4.134020618556701,0.019026689136435865
20,323999334,P00_P50,2552,15,5,488,10,2049,2.0993852459016393,2.0993852459016393,0.18604793436124095
20,323999334,P65_P75,511,11,7,97,4,403,7.270618556701031,7.270618556701031,0.0019392582030100544
20,323999334,P85_P95,510,13,10,94,3,403,14.290780141843971,14.290780141843971,1.4172112519272538e-05
21,230581197,P00_P50,2552,12,4,492,8,2048,2.0813008130081303,2.0813008130081303,0.2645150477669811
21,230581197,P65_P75,511,8,5,94,3,409,7.25177304964539,7.25177304964539,0.008510915198907806
21,230581197,P85_P95,510,16,7,100,9,394,3.0644444444444443,3.0644444444444443,0.05341827460346448
22,1304493859,P00_P50,2552,19,8,504,11,2029,2.9278499278499277,2.9278499278499277,0.03721132994920089
22,1304493859,P65_P75,511,10,7,92,3,409,10.373188405797102,10.373188405797102,0.0006123468305876119
22,1304493859,P85_P95,510,17,7,96,10,397,2.894791666666667,2.894791666666667,0.0570450465696571
23,1592877444,P00_P50,2552,13,5,497,8,2042,2.567907444668008,2.567907444668008,0.15055632737315655
23,1592877444,P65_P75,511,9,4,85,5,417,3.9247058823529413,3.9247058823529413,0.05375480632733217
23,1592877444,P85_P95,510,18,8,82,10,410,4.0,4.0,0.0066058239532019326
24,410229336,P00_P50,2552,13,4,485,9,2054,1.8822451317296678,1.8822451317296678,0.28944326933249653
24,410229336,P65_P75,511,11,6,113,5,387,4.109734513274336,4.109734513274336,0.023218182779138726
24,410229336,P85_P95,510,19,10,99,9,392,4.399551066217733,4.399551066217733,0.0022028064940979885
25,97689658,P00_P50,2552,11,4,472,7,2069,2.5048426150121066,2.5048426150121066,0.13213484658819852
25,97689658,P65_P75,511,11,6,102,5,398,4.682352941176471,4.682352941176471,0.014318838640952571
25,97689658,P85_P95,510,15,8,97,7,398,4.689248895434463,4.689248895434463,0.004485728816910133
26,692187905,P00_P50,2552,12,5,496,7,2044,2.943548387096774,2.943548387096774,0.06730215059915086
26,692187905,P65_P75,511,7,5,88,2,416,11.818181818181818,11.818181818181818,0.0028043033137865286
26,692187905,P85_P95,510,22,6,105,16,383,1.3678571428571429,1.3678571428571429,0.5962578628866719
27,1994802872,P00_P50,2552,15,6,494,9,2043,2.757085020242915,2.757085020242915,0.09299262449242238
27,1994802872,P65_P75,511,10,5,100,5,401,4.01,4.01,0.03504998618746806
27,1994802872,P85_P95,510,12,6,84,6,414,4.928571428571429,4.928571428571429,0.009662094826871762
28,526269062,P00_P50,2552,9,5,473,4,2070,5.470401691331924,5.470401691331924,0.014656176872786982
28,526269062,P65_P75,511,7,2,100,5,404,1.616,1.616,0.6310087320473338
28,526269062,P85_P95,510,21,8,102,13,387,2.334841628959276,2.334841628959276,0.09809246508244968
29,1562169210,P00_P50,2552,13,3,496,10,2043,1.2356854838709677,1.2356854838709677,0.7271680812668133
29,1562169210,P65_P75,511,5,3,106,2,400,5.660377358490566,5.660377358490566,0.06769800165707986
29,1562169210,P85_P95,510,18,10,82,8,410,6.25,6.25,0.0002885264647805376
30,701111652,P00_P50,2552,13,8,474,5,2065,6.970464135021097,6.970464135021097,0.0008073337088341293
30,701111652,P65_P75,511,9,3,102,6,400,1.9607843137254901,1.9607843137254901,0.399287933537352
30,701111652,P85_P95,510,16,11,96,5,398,9.120833333333334,9.120833333333334,3.7577939973312195e-05
31,557547225,P00_P50,2552,12,4,480,8,2060,2.1458333333333335,2.1458333333333335,0.25791872072428595
31,557547225,P65_P75,511,13,6,108,7,390,3.0952380952380953,3.0952380952380953,0.04693331449522293
31,557547225,P85_P95,510,16,7,97,9,397,3.183276059564719,3.183276059564719,0.027323143649453808
32,1378756620,P00_P50,2552,9,2,476,7,2067,1.2406962785114046,1.2406962785114046,0.6790204593658712
32,1378756620,P65_P75,511,10,3,92,7,409,1.90527950310559,1.90527950310559,0.4044229037032858
32,1378756620,P85_P95,510,17,8,93,9,400,3.823178016726404,3.823178016726404,0.009117821285580627
33,1428642927,P00_P50,2552,13,4,509,9,2030,1.772538746998472,1.772538746998472,0.30911030796607286
33,1428642927,P65_P75,511,10,5,93,5,408,4.387096774193548,4.387096774193548,0.0263566768007657
33,1428642927,P85_P95,510,20,9,94,11,396,3.4468085106382977,3.4468085106382977,0.009252279161476662
34,1667205622,P00_P50,2552,18,7,476,11,2058,2.751336898395722,2.751336898395722,0.06126741785643795
34,1667205622,P65_P75,511,8,4,97,4,406,4.185567010309279,4.185567010309279,0.05272685977077012
34,1667205622,P85_P95,510,16,6,94,10,400,2.5531914893617023,2.5531914893617023,0.10086210213839907
35,1086680155,P00_P50,2552,10,4,484,6,2058,2.834710743801653,2.834710743801653,0.10551276335549382
35,1086680155,P65_P75,511,10,5,101,5,400,3.9603960396039604,3.9603960396039604,0.03643297216382218
35,1086680155,P85_P95,510,17,8,85,9,408,4.266666666666667,4.266666666666667,0.005331710131359761
36,654222321,P00_P50,2552,16,6,491,10,2045,2.4989816700610996,2.4989816700610996,0.1035714305043969
36,654222321,P65_P75,511,8,3,94,5,409,2.6106382978723404,2.6106382978723404,0.17971231678132388
36,654222321,P85_P95,510,16,7,77,9,417,4.212121212121212,4.212121212121212,0.008356170007243036
37,1047505914,P00_P50,2552,14,5,490,9,2048,2.3219954648526078,2.3219954648526078,0.16506217018654798
37,1047505914,P65_P75,511,8,6,100,2,403,12.09,12.09,0.0013720843402832436
37,1047505914,P85_P95,510,18,9,87,9,405,4.655172413793103,4.655172413793103,0.002283170424233653
38,96073520,P00_P50,2552,14,6,489,8,2049,3.142638036809816,3.142638036809816,0.03784968246139306
38,96073520,P65_P75,511,6,3,98,3,407,4.153061224489796,4.153061224489796,0.09480795060278188
38,96073520,P85_P95,510,20,10,89,10,401,4.50561797752809,4.50561797752809,0.0016406191600063836
39,1390893999,P00_P50,2552,13,5,498,8,2041,2.561495983935743,2.561495983935743,0.15084658053849076
39,1390893999,P65_P75,511,6,4,102,2,403,7.901960784313726,7.901960784313726,0.018706750073200776
39,1390893999,P85_P95,510,18,8,88,10,404,3.672727272727273,3.672727272727273,0.009993954647436687
40,1871114650,P00_P50,2552,15,7,501,8,2036,3.5558882235528944,3.5558882235528944,0.017309816377485878
40,1871114650,P65_P75,511,9,5,104,4,398,4.783653846153846,4.783653846153846,0.024522139545204033
40,1871114650,P85_P95,510,17,12,94,5,399,10.187234042553191,10.187234042553191,9.205364037383863e-06
41,301312083,P00_P50,2552,12,5,490,7,2050,2.988338192419825,2.988338192419825,0.06435454978811662
41,301312083,P65_P75,511,9,5,95,4,407,5.355263157894737,5.355263157894737,0.016942240277832088
41,301312083,P85_P95,510,18,8,90,10,402,3.5733333333333333,3.5733333333333333,0.011381635159036237
42,1600197889,P00_P50,2552,10,6,455,4,2087,6.880219780219781,6.880219780219781,0.003667142208318066
42,1600197889,P65_P75,511,11,7,108,4,392,6.351851851851852,6.351851851851852,0.003648132818028046
42,1600197889,P85_P95,510,18,8,86,10,406,3.7767441860465114,3.7767441860465114,0.008741474112849047
43,1584113194,P00_P50,2552,15,6,491,9,2046,2.7780040733197557,2.7780040733197557,0.09241371488878317
43,1584113194,P65_P75,511,6,1,86,5,419,0.9744186046511628,0.9744186046511628,1.0
43,1584113194,P85_P95,510,13,6,100,7,397,3.402857142857143,3.402857142857143,0.03388112720979197
44,1453063449,P00_P50,2552,14,5,474,9,2064,2.419127988748242,2.419127988748242,0.1582590901085212
44,1453063449,P65_P75,511,8,4,94,4,409,4.351063829787234,4.351063829787234,0.047674634515146794
44,1453063449,P85_P95,510,15,6,90,9,405,3.0,3.0,0.0445491565487973
45,2050144965,P00_P50,2552,9,2,499,7,2044,1.1703406813627255,1.1703406813627255,0.6923361026973329
45,2050144965,P65_P75,511,6,5,97,1,408,21.030927835051546,21.030927835051546,0.0014748988174694336
45,2050144965,P85_P95,510,27,11,88,16,395,3.0859375,3.0859375,0.009609568026623978
46,930395074,P00_P50,2552,11,4,503,7,2038,2.3152513490485656,2.3152513490485656,0.2447821286491504
46,930395074,P65_P75,511,4,2,102,2,405,3.9705882352941178,3.9705882352941178,0.18563941149133933
46,930395074,P85_P95,510,16,9,87,7,407,6.014778325123153,6.014778325123153,0.0007540084344469653
47,930822943,P00_P50,2552,10,7,490,3,2052,9.771428571428572,9.771428571428572,0.0007096816382257663
47,930822943,P65_P75,511,9,4,98,5,404,3.2979591836734694,3.2979591836734694,0.0833006644954671
47,930822943,P85_P95,510,19,10,82,9,409,5.542005420054201,5.542005420054201,0.0005181713645616276
48,1003187408,P00_P50,2552,15,4,478,11,2059,1.5663750475465956,1.5663750475465956,0.503823892033745
48,1003187408,P65_P75,511,7,3,95,4,409,3.2289473684210526,3.2289473684210526,0.1328041928183399
48,1003187408,P85_P95,510,13,4,104,9,393,1.6794871794871795,1.6794871794871795,0.4881009365947863
49,401422238,P00_P50,2552,14,7,470,7,2068,4.4,4.4,0.007774250726397763
49,401422238,P65_P75,511,5,2,107,3,399,2.485981308411215,2.485981308411215,0.28987553471009353
49,401422238,P85_P95,510,16,8,97,8,397,4.092783505154639,4.092783505154639,0.0074432945311425245
50,1472393678,P00_P50,2552,12,4,463,8,2077,2.2429805615550755,2.2429805615550755,0.24976087407558517
50,1472393678,P65_P75,511,7,3,97,4,407,3.1469072164948453,3.1469072164948453,0.13933189371133664
50,1472393678,P85_P95,510,25,14,80,11,405,6.443181818181818,6.443181818181818,1.6565028242449545e-05
51,382825613,P00_P50,2552,15,3,496,12,2041,1.0287298387096775,1.0287298387096775,1.0
51,382825613,P65_P75,511,10,6,107,4,394,5.5233644859813085,5.5233644859813085,0.009953567594621326
51,382825613,P85_P95,510,20,6,94,14,396,1.8054711246200608,1.8054711246200608,0.24986844664428637
52,1230434578,P00_P50,2552,11,5,500,6,2041,3.401666666666667,3.401666666666667,0.048012449934956146
52,1230434578,P65_P75,511,6,2,101,4,404,2.0,2.0,0.3485040965094395
52,1230434578,P85_P95,510,16,9,81,7,413,6.555555555555555,6.555555555555555,0.0004485875764208202
53,502334780,P00_P50,2552,18,9,467,9,2067,4.426124197002141,4.426124197002141,0.0024882263466620637
53,502334780,P65_P75,511,7,4,94,3,410,5.815602836879433,5.815602836879433,0.027901265227119026
53,502334780,P85_P95,510,15,6,82,9,413,3.3577235772357725,3.3577235772357725,0.029928496262704232
54,1639719688,P00_P50,2552,13,6,481,7,2058,3.6673596673596673,3.6673596673596673,0.023846041981582588
54,1639719688,P65_P75,511,6,4,105,2,400,7.619047619047619,7.619047619047619,0.02071579605100779
54,1639719688,P85_P95,510,24,10,92,14,394,3.059006211180124,3.059006211180124,0.014861456404410561
55,1077892211,P00_P50,2552,13,6,488,7,2051,3.6024590163934427,3.6024590163934427,0.025497397748978606
55,1077892211,P65_P75,511,7,1,105,6,399,0.6333333333333333,0.6333333333333333,1.0
55,1077892211,P85_P95,510,18,9,96,9,396,4.125,4.125,0.004456321529106713
56,534014545,P00_P50,2552,13,6,491,7,2048,3.575210939773058,3.575210939773058,0.026229525556372073
56,534014545,P65_P75,511,8,5,104,3,399,6.394230769230769,6.394230769230769,0.013114137206659006
56,534014545,P85_P95,510,14,7,98,7,398,4.061224489795919,4.061224489795919,0.012453048700148416
57,749590630,P00_P50,2552,16,7,521,9,2015,3.0081040733631905,3.0081040733631905,0.03127235629747664
57,749590630,P65_P75,511,5,2,93,3,413,2.960573476702509,2.960573476702509,0.233636327824013
57,749590630,P85_P95,510,18,8,87,10,405,3.7241379310344827,3.7241379310344827,0.009351389295503103
58,781287039,P00_P50,2552,13,5,475,8,2064,2.7157894736842105,2.7157894736842105,0.07926266533705227
58,781287039,P65_P75,511,7,4,102,3,402,5.254901960784314,5.254901960784314,0.0367167923931151
58,781287039,P85_P95,510,12,7,92,5,406,6.178260869565217,6.178260869565217,0.0028933756043649176
59,1781451135,P00_P50,2552,15,6,494,9,2043,2.757085020242915,2.757085020242915,0.09299262449242238
59,1781451135,P65_P75,511,7,4,91,3,413,6.051282051282051,6.051282051282051,0.024995690229770842
59,1781451135,P85_P95,510,21,10,90,11,399,4.03030303030303,4.03030303030303,0.002849357658540475
60,1124579942,P00_P50,2552,10,5,495,5,2047,4.135353535353535,4.135353535353535,0.02990264510867234
60,1124579942,P65_P75,511,7,5,80,2,424,13.25,13.25,0.001824645257684434
60,1124579942,P85_P95,510,14,6,90,8,406,3.3833333333333333,3.3833333333333333,0.03143933780650957
61,983825694,P00_P50,2552,8,5,518,3,2026,6.518661518661519,6.518661518661519,0.01146044280605447
61,983825694,P65_P75,511,5,4,96,1,410,17.083333333333332,17.083333333333332,0.005925061803304371
61,983825694,P85_P95,510,23,11,86,12,401,4.27422480620155,4.27422480620155,0.0012463191279072196
62,1380840030,P00_P50,2552,16,5,483,11,2053,1.9320534537925842,1.9320534537925842,0.20867066401643322
62,1380840030,P65_P75,511,7,3,109,4,395,2.717889908256881,2.717889908256881,0.18127037076247232
62,1380840030,P85_P95,510,19,12,100,7,391,6.702857142857143,6.702857142857143,9.322171240820181e-05
63,1460445538,P00_P50,2552,14,4,482,10,2056,1.7062240663900414,1.7062240663900414,0.32051915178092666
63,1460445538,P65_P75,511,7,4,102,3,402,5.254901960784314,5.254901960784314,0.0367167923931151
63,1460445538,P85_P95,510,20,7,86,13,404,2.5295169946332736,2.5295169946332736,0.06974359287531308
64,1328888731,P00_P50,2552,6,1,465,5,2081,0.8950537634408602,0.8950537634408602,1.0
64,1328888731,P65_P75,511,9,6,114,3,388,6.807017543859649,6.807017543859649,0.006720335656068971
64,1328888731,P85_P95,510,15,6,100,9,395,2.6333333333333333,2.6333333333333333,0.09747185198492037
65,1919252817,P00_P50,2552,12,5,489,7,2051,2.9959100204498976,2.9959100204498976,0.0638712708092532
65,1919252817,P65_P75,511,6,4,93,2,412,8.86021505376344,8.86021505376344,0.013489241855133085
65,1919252817,P85_P95,510,21,10,84,11,405,4.383116883116883,4.383116883116883,0.001713542680871983
66,1666079308,P00_P50,2552,14,4,492,10,2046,1.6634146341463414,1.6634146341463414,0.4938687747054409
66,1666079308,P65_P75,511,9,3,94,6,408,2.1702127659574466,2.1702127659574466,0.38194583268692195
66,1666079308,P85_P95,510,15,6,96,9,399,2.7708333333333335,2.7708333333333335,0.09162322513396572
67,472829349,P00_P50,2552,13,7,514,6,2025,4.596303501945525,4.596303501945525,0.0077273763426502235
67,472829349,P65_P75,511,5,3,98,2,408,6.244897959183674,6.244897959183674,0.05523550879101548
67,472829349,P85_P95,510,21,8,85,13,404,2.924886877828054,2.924886877828054,0.036661329502725624
68,177440909,P00_P50,2552,13,7,458,6,2081,5.3009461426492,5.3009461426492,0.003974454245596862
68,177440909,P65_P75,511,6,4,108,2,397,7.351851851851852,7.351851851851852,0.02286784583390404
68,177440909,P85_P95,510,21,9,90,12,399,3.325,3.325,0.010287133878865916
69,166266696,P00_P50,2552,9,5,504,4,2039,5.057043650793651,5.057043650793651,0.019163053320531555
69,166266696,P65_P75,511,10,7,89,3,412,10.801498127340825,10.801498127340825,0.0004993964091069195
69,166266696,P85_P95,510,21,12,94,9,395,5.602836879432624,5.602836879432624,0.00020280113612350321
70,1467928894,P00_P50,2552,13,6,496,7,2043,3.5305299539170507,3.5305299539170507,0.027482841352519122
70,1467928894,P65_P75,511,10,5,95,5,406,4.273684210526316,4.273684210526316,0.028668342554470327
70,1467928894,P85_P95,510,20,11,86,9,404,5.741602067183463,5.741602067183463,0.0002597885832041132
71,1870270908,P00_P50,2552,11,5,464,6,2077,3.7302442528735633,3.7302442528735633,0.03591958827363614
71,1870270908,P65_P75,511,8,5,94,3,409,7.25177304964539,7.25177304964539,0.008510915198907806
71,1870270908,P85_P95,510,25,11,89,14,396,3.495987158908507,3.495987158908507,0.0037831415402627857
72,972186595,P00_P50,2552,16,6,491,10,2045,2.4989816700610996,2.4989816700610996,0.1035714305043969
72,972186595,P65_P75,511,10,4,86,6,415,3.2170542635658914,3.2170542635658914,0.080666702475725
72,972186595,P85_P95,510,16,10,98,6,396,6.73469387755102,6.73469387755102,0.00031835507678096953
73,2101219972,P00_P50,2552,17,9,494,8,2041,4.6480263157894735,4.6480263157894735,0.002239569902303288
73,2101219972,P65_P75,511,8,3,105,5,398,2.2742857142857145,2.2742857142857145,0.3748443764213161
73,2101219972,P85_P95,510,19,8,89,11,402,3.2849846782431054,3.2849846782431054,0.01555569941348989
74,2107237442,P00_P50,2552,10,5,469,5,2073,4.4200426439232405,4.4200426439232405,0.024023307700840345
74,2107237442,P65_P75,511,12,7,96,5,403,5.877083333333333,5.877083333333333,0.0036523448374401932
74,2107237442,P85_P95,510,15,2,84,13,411,0.7527472527472527,0.7527472527472527,1.0
75,368363324,P00_P50,2552,19,9,492,10,2041,3.7335365853658535,3.7335365853658535,0.005678133227066611
75,368363324,P65_P75,511,7,3,102,4,402,2.9558823529411766,2.9558823529411766,0.15624570533707474
75,368363324,P85_P95,510,13,4,95,9,402,1.880701754385965,1.880701754385965,0.2910440232657806
76,1113100665,P00_P50,2552,14,6,471,8,2067,3.2914012738853504,3.2914012738853504,0.03200781725196354
76,1113100665,P65_P75,511,5,3,91,2,415,6.84065934065934,6.84065934065934,0.045495682747403954
76,1113100665,P85_P95,510,21,8,87,13,402,2.843501326259947,2.843501326259947,0.03844669829095172
77,204817647,P00_P50,2552,18,8,487,10,2047,3.362628336755647,3.362628336755647,0.01326551329276333
77,204817647,P65_P75,511,9,3,109,6,393,1.8027522935779816,1.8027522935779816,0.41860219048928715
77,204817647,P85_P95,510,15,9,88,6,407,6.9375,6.9375,0.0004254087617190237
78,1626938806,P00_P50,2552,10,1,472,9,2070,0.4872881355932203,0.4872881355932203,0.6994918386059205
78,1626938806,P65_P75,511,7,3,103,4,401,2.9199029126213594,2.9199029126213594,0.15972712998592795
78,1626938806,P85_P95,510,16,7,99,9,395,3.1032547699214366,3.1032547699214366,0.030215714288361523
79,1808282114,P00_P50,2552,18,7,490,11,2044,2.6545454545454548,2.6545454545454548,0.06449235232508069
79,1808282114,P65_P75,511,7,3,88,4,416,3.5454545454545454,3.5454545454545454,0.11108376677560378
79,1808282114,P85_P95,510,23,12,102,11,385,4.117647058823529,4.117647058823529,0.0013079179754933643
80,1607420687,P00_P50,2552,13,4,492,9,2047,1.849141824751581,1.849141824751581,0.294934672097082
80,1607420687,P65_P75,511,12,6,106,6,393,3.707547169811321,3.707547169811321,0.02830261816706883
80,1607420687,P85_P95,510,15,9,96,6,399,6.234375,6.234375,0.0008073493482040143
81,2002049718,P00_P50,2552,10,6,517,4,2025,5.875241779497099,5.875241779497099,0.007113696714790698
81,2002049718,P65_P75,511,8,4,111,4,392,3.5315315315315314,3.5315315315315314,0.08055994326905896
81,2002049718,P85_P95,510,19,9,93,10,398,3.8516129032258064,3.8516129032258064,0.0056999200286542775
82,1481362843,P00_P50,2552,13,6,476,7,2063,3.7148859543817525,3.7148859543817525,0.02271445270699976
82,1481362843,P65_P75,511,10,6,99,4,402,6.090909090909091,6.090909090909091,0.006765336338900909
82,1481362843,P85_P95,510,22,11,94,11,394,4.191489361702128,4.191489361702128,0.001597297758565822
83,1339901230,P00_P50,2552,18,7,504,11,2030,2.563131313131313,2.563131313131313,0.06858409173270474
83,1339901230,P65_P75,511,7,4,94,3,410,5.815602836879433,5.815602836879433,0.027901265227119026
83,1339901230,P85_P95,510,11,8,104,3,395,10.128205128205128,10.128205128205128,0.00039691951722681696
84,1994546457,P00_P50,2552,18,7,502,11,2032,2.5758783049619702,2.5758783049619702,0.0679468178180752
84,1994546457,P65_P75,511,9,4,90,5,412,3.6622222222222223,3.6622222222222223,0.06421996435740458
84,1994546457,P85_P95,510,22,8,86,14,402,2.6710963455149503,2.6710963455149503,0.04343359516186672
85,1430234044,P00_P50,2552,12,6,483,6,2057,4.25879917184265,4.25879917184265,0.015557498879050075
85,1430234044,P65_P75,511,10,5,96,5,405,4.21875,4.21875,0.029874951821581824
85,1430234044,P85_P95,510,21,11,90,10,399,4.876666666666667,4.876666666666667,0.0006724475452744923
86,1856753958,P00_P50,2552,16,7,487,9,2049,3.272416153319644,3.272416153319644,0.022128927651276227
86,1856753958,P65_P75,511,10,6,97,4,404,6.247422680412371,6.247422680412371,0.00610818513607117
86,1856753958,P85_P95,510,20,6,88,14,402,1.9577922077922079,1.9577922077922079,0.23275516921698672
87,626622413,P00_P50,2552,8,4,469,4,2075,4.424307036247335,4.424307036247335,0.04354826003011092
87,626622413,P65_P75,511,10,6,98,4,403,6.168367346938775,6.168367346938775,0.00643028955083449
87,626622413,P85_P95,510,17,8,101,9,392,3.44994499449945,3.44994499449945,0.014741107808629543
88,456110078,P00_P50,2552,15,5,473,10,2064,2.1818181818181817,2.1818181818181817,0.17659761690785505
88,456110078,P65_P75,511,9,4,105,5,397,3.0247619047619048,3.0247619047619048,0.10235730978647702
88,456110078,P85_P95,510,18,8,89,10,403,3.6224719101123597,3.6224719101123597,0.010670317199936066
89,1349762382,P00_P50,2552,13,6,506,7,2033,3.4438170525127045,3.4438170525127045,0.030116103263379056
89,1349762382,P65_P75,511,5,3,93,2,413,6.661290322580645,6.661290322580645,0.0481681444343579
89,1349762382,P85_P95,510,24,12,80,12,406,5.075,5.075,0.00024995459757640946
90,829101570,P00_P50,2552,13,4,484,9,2055,1.8870523415977962,1.8870523415977962,0.28867609298402147
90,829101570,P65_P75,511,9,3,108,6,394,1.8240740740740742,1.8240740740740742,0.4156345750219904
90,829101570,P85_P95,510,14,8,92,6,404,5.855072463768116,5.855072463768116,0.0017941988113127794
91,1125461323,P00_P50,2552,15,8,492,7,2045,4.750290360046457,4.750290360046457,0.003603168961767726
91,1125461323,P65_P75,511,7,3,88,4,416,3.5454545454545454,3.5454545454545454,0.11108376677560378
91,1125461323,P85_P95,510,15,6,101,9,394,2.6006600660066006,2.6006600660066006,0.09921038703958743
92,628619437,P00_P50,2552,9,6,521,3,2022,7.7619961612284065,7.7619961612284065,0.003580045586255153
