repeat,split_seed,region,percentile_low,percentile_high,MUC5B_carrier,N,cases,controls,smoothed_case_probability
29,1562169210,P85_P95,85.0,95.0,1,92,10,82,0.11290322580645161
30,701111652,P00_P50,0.0,50.0,0,2070,5,2065,0.002655721873491067
30,701111652,P00_P50,0.0,50.0,1,482,8,474,0.017598343685300208
30,701111652,P65_P75,65.0,75.0,0,406,6,400,0.01597051597051597
30,701111652,P65_P75,65.0,75.0,1,105,3,102,0.0330188679245283
30,701111652,P85_P95,85.0,95.0,0,403,5,398,0.013613861386138614
30,701111652,P85_P95,85.0,95.0,1,107,11,96,0.10648148148148148
31,557547225,P00_P50,0.0,50.0,0,2068,8,2060,0.004108264862252296
31,557547225,P00_P50,0.0,50.0,1,484,4,480,0.009278350515463918
31,557547225,P65_P75,65.0,75.0,0,397,7,390,0.018844221105527637
31,557547225,P65_P75,65.0,75.0,1,114,6,108,0.05652173913043478
31,557547225,P85_P95,85.0,95.0,0,406,9,397,0.02334152334152334
31,557547225,P85_P95,85.0,95.0,1,104,7,97,0.07142857142857142
32,1378756620,P00_P50,0.0,50.0,0,2074,7,2067,0.0036144578313253013
32,1378756620,P00_P50,0.0,50.0,1,478,2,476,0.005219206680584551
32,1378756620,P65_P75,65.0,75.0,0,416,7,409,0.017985611510791366
32,1378756620,P65_P75,65.0,75.0,1,95,3,92,0.036458333333333336
32,1378756620,P85_P95,85.0,95.0,0,409,9,400,0.023170731707317073
32,1378756620,P85_P95,85.0,95.0,1,101,8,93,0.08333333333333333
33,1428642927,P00_P50,0.0,50.0,0,2039,9,2030,0.004656862745098039
33,1428642927,P00_P50,0.0,50.0,1,513,4,509,0.008754863813229572
33,1428642927,P65_P75,65.0,75.0,0,413,5,408,0.013285024154589372
33,1428642927,P65_P75,65.0,75.0,1,98,5,93,0.05555555555555555
33,1428642927,P85_P95,85.0,95.0,0,407,11,396,0.028186274509803922
33,1428642927,P85_P95,85.0,95.0,1,103,9,94,0.09134615384615384
34,1667205622,P00_P50,0.0,50.0,0,2069,11,2058,0.005555555555555556
34,1667205622,P00_P50,0.0,50.0,1,483,7,476,0.015495867768595042
34,1667205622,P65_P75,65.0,75.0,0,410,4,406,0.010948905109489052
34,1667205622,P65_P75,65.0,75.0,1,101,4,97,0.04411764705882353
34,1667205622,P85_P95,85.0,95.0,0,410,10,400,0.025547445255474453
34,1667205622,P85_P95,85.0,95.0,1,100,6,94,0.06435643564356436
35,1086680155,P00_P50,0.0,50.0,0,2064,6,2058,0.0031476997578692495
35,1086680155,P00_P50,0.0,50.0,1,488,4,484,0.009202453987730062
35,1086680155,P65_P75,65.0,75.0,0,405,5,400,0.013546798029556651
35,1086680155,P65_P75,65.0,75.0,1,106,5,101,0.0514018691588785
35,1086680155,P85_P95,85.0,95.0,0,417,9,408,0.022727272727272728
35,1086680155,P85_P95,85.0,95.0,1,93,8,85,0.09042553191489362
36,654222321,P00_P50,0.0,50.0,0,2055,10,2045,0.005107003891050584
36,654222321,P00_P50,0.0,50.0,1,497,6,491,0.013052208835341365
36,654222321,P65_P75,65.0,75.0,0,414,5,409,0.01325301204819277
36,654222321,P65_P75,65.0,75.0,1,97,3,94,0.03571428571428571
36,654222321,P85_P95,85.0,95.0,0,426,9,417,0.02224824355971897
36,654222321,P85_P95,85.0,95.0,1,84,7,77,0.08823529411764706
37,1047505914,P00_P50,0.0,50.0,0,2057,9,2048,0.004616132167152575
37,1047505914,P00_P50,0.0,50.0,1,495,5,490,0.011088709677419355
37,1047505914,P65_P75,65.0,75.0,0,405,2,403,0.006157635467980296
37,1047505914,P65_P75,65.0,75.0,1,106,6,100,0.06074766355140187
37,1047505914,P85_P95,85.0,95.0,0,414,9,405,0.02289156626506024
37,1047505914,P85_P95,85.0,95.0,1,96,9,87,0.0979381443298969
38,96073520,P00_P50,0.0,50.0,0,2057,8,2049,0.00413022351797862
38,96073520,P00_P50,0.0,50.0,1,495,6,489,0.01310483870967742
38,96073520,P65_P75,65.0,75.0,0,410,3,407,0.00851581508515815
38,96073520,P65_P75,65.0,75.0,1,101,3,98,0.03431372549019608
38,96073520,P85_P95,85.0,95.0,0,411,10,401,0.025485436893203883
38,96073520,P85_P95,85.0,95.0,1,99,10,89,0.105
39,1390893999,P00_P50,0.0,50.0,0,2049,8,2041,0.004146341463414634
39,1390893999,P00_P50,0.0,50.0,1,503,5,498,0.010912698412698412
39,1390893999,P65_P75,65.0,75.0,0,405,2,403,0.006157635467980296
39,1390893999,P65_P75,65.0,75.0,1,106,4,102,0.04205607476635514
39,1390893999,P85_P95,85.0,95.0,0,414,10,404,0.02530120481927711
39,1390893999,P85_P95,85.0,95.0,1,96,8,88,0.08762886597938144
40,1871114650,P00_P50,0.0,50.0,0,2044,8,2036,0.004156479217603912
40,1871114650,P00_P50,0.0,50.0,1,508,7,501,0.014734774066797643
40,1871114650,P65_P75,65.0,75.0,0,402,4,398,0.011166253101736972
40,1871114650,P65_P75,65.0,75.0,1,109,5,104,0.05
40,1871114650,P85_P95,85.0,95.0,0,404,5,399,0.013580246913580247
40,1871114650,P85_P95,85.0,95.0,1,106,12,94,0.11682242990654206
41,301312083,P00_P50,0.0,50.0,0,2057,7,2050,0.0036443148688046646
41,301312083,P00_P50,0.0,50.0,1,495,5,490,0.011088709677419355
41,301312083,P65_P75,65.0,75.0,0,411,4,407,0.010922330097087379
41,301312083,P65_P75,65.0,75.0,1,100,5,95,0.054455445544554455
41,301312083,P85_P95,85.0,95.0,0,412,10,402,0.025423728813559324
41,301312083,P85_P95,85.0,95.0,1,98,8,90,0.08585858585858586
42,1600197889,P00_P50,0.0,50.0,0,2091,4,2087,0.0021510516252390057
42,1600197889,P00_P50,0.0,50.0,1,461,6,455,0.01406926406926407
42,1600197889,P65_P75,65.0,75.0,0,396,4,392,0.011335012594458438
42,1600197889,P65_P75,65.0,75.0,1,115,7,108,0.06465517241379311
42,1600197889,P85_P95,85.0,95.0,0,416,10,406,0.025179856115107913
42,1600197889,P85_P95,85.0,95.0,1,94,8,86,0.08947368421052632
43,1584113194,P00_P50,0.0,50.0,0,2055,9,2046,0.004620622568093385
43,1584113194,P00_P50,0.0,50.0,1,497,6,491,0.013052208835341365
43,1584113194,P65_P75,65.0,75.0,0,424,5,419,0.012941176470588235
43,1584113194,P65_P75,65.0,75.0,1,87,1,86,0.017045454545454544
43,1584113194,P85_P95,85.0,95.0,0,404,7,397,0.018518518518518517
43,1584113194,P85_P95,85.0,95.0,1,106,6,100,0.06074766355140187
44,1453063449,P00_P50,0.0,50.0,0,2073,9,2064,0.004580520732883318
44,1453063449,P00_P50,0.0,50.0,1,479,5,474,0.011458333333333333
44,1453063449,P65_P75,65.0,75.0,0,413,4,409,0.010869565217391304
44,1453063449,P65_P75,65.0,75.0,1,98,4,94,0.045454545454545456
44,1453063449,P85_P95,85.0,95.0,0,414,9,405,0.02289156626506024
44,1453063449,P85_P95,85.0,95.0,1,96,6,90,0.06701030927835051
45,2050144965,P00_P50,0.0,50.0,0,2051,7,2044,0.003654970760233918
45,2050144965,P00_P50,0.0,50.0,1,501,2,499,0.0049800796812749
45,2050144965,P65_P75,65.0,75.0,0,409,1,408,0.003658536585365854
45,2050144965,P65_P75,65.0,75.0,1,102,5,97,0.05339805825242718
45,2050144965,P85_P95,85.0,95.0,0,411,16,395,0.04004854368932039
45,2050144965,P85_P95,85.0,95.0,1,99,11,88,0.115
46,930395074,P00_P50,0.0,50.0,0,2045,7,2038,0.0036656891495601175
46,930395074,P00_P50,0.0,50.0,1,507,4,503,0.008858267716535433
46,930395074,P65_P75,65.0,75.0,0,407,2,405,0.006127450980392157
46,930395074,P65_P75,65.0,75.0,1,104,2,102,0.023809523809523808
46,930395074,P85_P95,85.0,95.0,0,414,7,407,0.018072289156626505
46,930395074,P85_P95,85.0,95.0,1,96,9,87,0.0979381443298969
47,930822943,P00_P50,0.0,50.0,0,2055,3,2052,0.0017023346303501946
47,930822943,P00_P50,0.0,50.0,1,497,7,490,0.015060240963855422
47,930822943,P65_P75,65.0,75.0,0,409,5,404,0.013414634146341463
47,930822943,P65_P75,65.0,75.0,1,102,4,98,0.043689320388349516
47,930822943,P85_P95,85.0,95.0,0,418,9,409,0.022673031026252982
47,930822943,P85_P95,85.0,95.0,1,92,10,82,0.11290322580645161
48,1003187408,P00_P50,0.0,50.0,0,2070,11,2059,0.005552873008208595
48,1003187408,P00_P50,0.0,50.0,1,482,4,478,0.009316770186335404
48,1003187408,P65_P75,65.0,75.0,0,413,4,409,0.010869565217391304
48,1003187408,P65_P75,65.0,75.0,1,98,3,95,0.03535353535353535
48,1003187408,P85_P95,85.0,95.0,0,402,9,393,0.02357320099255583
48,1003187408,P85_P95,85.0,95.0,1,108,4,104,0.04128440366972477
49,401422238,P00_P50,0.0,50.0,0,2075,7,2068,0.0036127167630057803
49,401422238,P00_P50,0.0,50.0,1,477,7,470,0.015690376569037656
49,401422238,P65_P75,65.0,75.0,0,402,3,399,0.008684863523573201
49,401422238,P65_P75,65.0,75.0,1,109,2,107,0.022727272727272728
49,401422238,P85_P95,85.0,95.0,0,405,8,397,0.020935960591133004
49,401422238,P85_P95,85.0,95.0,1,105,8,97,0.08018867924528301
50,1472393678,P00_P50,0.0,50.0,0,2085,8,2077,0.004074784276126558
50,1472393678,P00_P50,0.0,50.0,1,467,4,463,0.009615384615384616
50,1472393678,P65_P75,65.0,75.0,0,411,4,407,0.010922330097087379
50,1472393678,P65_P75,65.0,75.0,1,100,3,97,0.034653465346534656
50,1472393678,P85_P95,85.0,95.0,0,416,11,405,0.027577937649880094
50,1472393678,P85_P95,85.0,95.0,1,94,14,80,0.15263157894736842
51,382825613,P00_P50,0.0,50.0,0,2053,12,2041,0.006085686465433301
51,382825613,P00_P50,0.0,50.0,1,499,3,496,0.007
51,382825613,P65_P75,65.0,75.0,0,398,4,394,0.011278195488721804
51,382825613,P65_P75,65.0,75.0,1,113,6,107,0.05701754385964912
51,382825613,P85_P95,85.0,95.0,0,410,14,396,0.03527980535279805
51,382825613,P85_P95,85.0,95.0,1,100,6,94,0.06435643564356436
52,1230434578,P00_P50,0.0,50.0,0,2047,6,2041,0.003173828125
52,1230434578,P00_P50,0.0,50.0,1,505,5,500,0.010869565217391304
52,1230434578,P65_P75,65.0,75.0,0,408,4,404,0.011002444987775062
52,1230434578,P65_P75,65.0,75.0,1,103,2,101,0.02403846153846154
52,1230434578,P85_P95,85.0,95.0,0,420,7,413,0.017814726840855107
52,1230434578,P85_P95,85.0,95.0,1,90,9,81,0.1043956043956044
53,502334780,P00_P50,0.0,50.0,0,2076,9,2067,0.0045739046701974
53,502334780,P00_P50,0.0,50.0,1,476,9,467,0.019916142557651992
53,502334780,P65_P75,65.0,75.0,0,413,3,410,0.008454106280193236
53,502334780,P65_P75,65.0,75.0,1,98,4,94,0.045454545454545456
53,502334780,P85_P95,85.0,95.0,0,422,9,413,0.022458628841607566
53,502334780,P85_P95,85.0,95.0,1,88,6,82,0.07303370786516854
54,1639719688,P00_P50,0.0,50.0,0,2065,7,2058,0.0036302032913843175
54,1639719688,P00_P50,0.0,50.0,1,487,6,481,0.01331967213114754
54,1639719688,P65_P75,65.0,75.0,0,402,2,400,0.00620347394540943
54,1639719688,P65_P75,65.0,75.0,1,109,4,105,0.04090909090909091
54,1639719688,P85_P95,85.0,95.0,0,408,14,394,0.035452322738386305
54,1639719688,P85_P95,85.0,95.0,1,102,10,92,0.10194174757281553
55,1077892211,P00_P50,0.0,50.0,0,2058,7,2051,0.003642544924720738
55,1077892211,P00_P50,0.0,50.0,1,494,6,488,0.013131313131313131
55,1077892211,P65_P75,65.0,75.0,0,405,6,399,0.01600985221674877
55,1077892211,P65_P75,65.0,75.0,1,106,1,105,0.014018691588785047
55,1077892211,P85_P95,85.0,95.0,0,405,9,396,0.023399014778325122
55,1077892211,P85_P95,85.0,95.0,1,105,9,96,0.08962264150943396
56,534014545,P00_P50,0.0,50.0,0,2055,7,2048,0.0036478599221789884
56,534014545,P00_P50,0.0,50.0,1,497,6,491,0.013052208835341365
56,534014545,P65_P75,65.0,75.0,0,402,3,399,0.008684863523573201
56,534014545,P65_P75,65.0,75.0,1,109,5,104,0.05
56,534014545,P85_P95,85.0,95.0,0,405,7,398,0.01847290640394089
56,534014545,P85_P95,85.0,95.0,1,105,7,98,0.07075471698113207
57,749590630,P00_P50,0.0,50.0,0,2024,9,2015,0.004691358024691358
57,749590630,P00_P50,0.0,50.0,1,528,7,521,0.014177693761814745
57,749590630,P65_P75,65.0,75.0,0,416,3,413,0.008393285371702638
57,749590630,P65_P75,65.0,75.0,1,95,2,93,0.026041666666666668
57,749590630,P85_P95,85.0,95.0,0,415,10,405,0.025240384615384616
57,749590630,P85_P95,85.0,95.0,1,95,8,87,0.08854166666666667
58,781287039,P00_P50,0.0,50.0,0,2072,8,2064,0.004100337674867342
58,781287039,P00_P50,0.0,50.0,1,480,5,475,0.011434511434511435
58,781287039,P65_P75,65.0,75.0,0,405,3,402,0.008620689655172414
58,781287039,P65_P75,65.0,75.0,1,106,4,102,0.04205607476635514
58,781287039,P85_P95,85.0,95.0,0,411,5,406,0.013349514563106795
58,781287039,P85_P95,85.0,95.0,1,99,7,92,0.075
59,1781451135,P00_P50,0.0,50.0,0,2052,9,2043,0.004627374573794447
59,1781451135,P00_P50,0.0,50.0,1,500,6,494,0.012974051896207584
59,1781451135,P65_P75,65.0,75.0,0,416,3,413,0.008393285371702638
59,1781451135,P65_P75,65.0,75.0,1,95,4,91,0.046875
59,1781451135,P85_P95,85.0,95.0,0,410,11,399,0.027980535279805353
59,1781451135,P85_P95,85.0,95.0,1,100,10,90,0.10396039603960396
60,1124579942,P00_P50,0.0,50.0,0,2052,5,2047,0.002679006332196785
60,1124579942,P00_P50,0.0,50.0,1,500,5,495,0.010978043912175649
60,1124579942,P65_P75,65.0,75.0,0,426,2,424,0.00585480093676815
60,1124579942,P65_P75,65.0,75.0,1,85,5,80,0.06395348837209303
60,1124579942,P85_P95,85.0,95.0,0,414,8,406,0.020481927710843374
60,1124579942,P85_P95,85.0,95.0,1,96,6,90,0.06701030927835051
61,983825694,P00_P50,0.0,50.0,0,2029,3,2026,0.0017241379310344827
61,983825694,P00_P50,0.0,50.0,1,523,5,518,0.01049618320610687
61,983825694,P65_P75,65.0,75.0,0,411,1,410,0.0036407766990291263
61,983825694,P65_P75,65.0,75.0,1,100,4,96,0.04455445544554455
61,983825694,P85_P95,85.0,95.0,0,413,12,401,0.030193236714975844
61,983825694,P85_P95,85.0,95.0,1,97,11,86,0.11734693877551021
62,1380840030,P00_P50,0.0,50.0,0,2064,11,2053,0.005569007263922518
62,1380840030,P00_P50,0.0,50.0,1,488,5,483,0.011247443762781187
62,1380840030,P65_P75,65.0,75.0,0,399,4,395,0.01125
