n_knots,logistic_C,requested_clinical_FPR,lambda_LR_Z,log_lambda_LR_Z,clinical_FPR,joint_same_lambda_FPR,clinical_sensitivity,joint_same_lambda_sensitivity,n_flips,n_upward_flips,n_downward_flips,overall_flip_fraction,control_flip_fraction,case_flip_fraction,median_boundary_distance_flips,q90_boundary_distance_flips,q95_boundary_distance_flips,max_boundary_distance_flips,max_flip_distance_minus_abs_observed_logLR_G,flip_fraction_outside_b_delta_0.05,flip_fraction_outside_b_delta_0.01,flip_fraction_outside_b_delta_0.005
5,1.0,0.005,26.367177594522037,3.272119963712519,0.0050343615151030845,0.004954451014863353,0.29365079365079366,0.29365079365079366,3,1,2,0.00023499921666927777,0.0002397315007191945,0.0,0.13739179666920176,0.2076073798043856,0.21638432769628357,0.22516127558818155,-0.015645260385418636,0.0,0.0,0.0
5,1.0,0.01,9.680109436475018,2.2700732066455527,0.010068723030206169,0.010947738532843216,0.29365079365079366,0.29365079365079366,23,17,6,0.0018016606611311295,0.0018379415055138244,0.0,0.3903428132441884,0.6285138086013213,0.691658371651935,1.227208032655148,-0.002872150900380354,0.043478260869565216,0.043478260869565216,0.043478260869565216
5,1.0,0.02,4.393608891070316,1.4801509602307446,0.020057535560172608,0.02397315007191945,0.3412698412698413,0.36507936507936506,149,102,47,0.011671627761240796,0.010787917532363753,0.05555555555555555,0.33320303782063343,0.8127805830688001,0.8590604323226679,1.26779957434434,-0.0002266586091858036,0.040268456375838924,0.006711409395973154,0.006711409395973154
5,1.0,0.05,1.960681331708411,0.6732920310557883,0.05002397315007192,0.07975067923925204,0.44047619047619047,0.5198412698412699,806,599,207,0.06313645621181263,0.061371264184113795,0.15079365079365079,0.5354133510793655,0.7563159054299429,0.7805441452378926,0.8614241484593875,-0.00017374324572316802,0.0,0.0,0.0
5,1.0,0.1,1.280502204939172,0.24725234859205728,0.10004794630014384,0.1336902669010708,0.5317460317460317,0.6190476190476191,1479,961,518,0.11585461381795394,0.11483138884449416,0.16666666666666666,0.2939508088687213,0.6052053141358088,0.7166109840632546,0.8589220672626598,-0.0007043882774771526,0.0,0.0,0.0
5,3.0,0.005,22.793794694553434,3.126488336397869,0.0050343615151030845,0.0050343615151030845,0.29365079365079366,0.29365079365079366,2,1,1,0.00015666614444618518,0.000159821000479463,0.0,0.2510131271845848,0.45182362893225264,0.4769249416507111,0.5020262543691696,-0.15338367194021219,0.0,0.0,0.0
5,3.0,0.01,8.587048991783906,2.1502551370174876,0.010068723030206169,0.01174684353524053,0.29365079365079366,0.2976190476190476,34,28,6,0.002663324455585148,0.0026370465079111395,0.003968253968253968,0.40759275811617834,0.723749846690905,0.7994052123286768,0.8806094209523945,-0.0008636152592140789,0.0,0.0,0.0
5,3.0,0.02,4.205303458690814,1.4363464569782092,0.020057535560172608,0.025731181077193542,0.3412698412698413,0.36904761904761907,174,126,48,0.013629954566818111,0.012705769538117308,0.05952380952380952,0.44032034254634683,0.8296484621693289,0.8640694429550978,1.164355345270778,-0.0014379561419245457,0.022988505747126436,0.005747126436781609,0.005747126436781609
5,3.0,0.05,2.043226626927676,0.714530238184439,0.05002397315007192,0.0664855361994566,0.44047619047619047,0.49603174603174605,668,444,224,0.05232649224502585,0.05066325715198977,0.1349206349206349,0.3936159087531189,0.7220267929074676,0.750233509268494,0.8332808717168978,-0.0007282212983807934,0.0,0.0,0.0
5,3.0,0.1,1.3629417368518755,0.30964540554387043,0.10004794630014384,0.12721751638165255,0.5317460317460317,0.6111111111111112,1460,910,550,0.11436628544571519,0.11331308933993926,0.16666666666666666,0.323222522251423,0.634990445601646,0.7487616433757145,0.8955614049667446,-0.00019737201427705298,0.002054794520547945,0.0,0.0
6,0.3,0.005,28.36886046315481,3.345292081047349,0.0050343615151030845,0.005114272015342816,0.29365079365079366,0.29365079365079366,3,2,1,0.00023499921666927777,0.0002397315007191945,0.0,0.13657301379109255,0.19089068972653633,0.1976803992184668,0.20447010871039728,-0.06555826137106485,0.0,0.0,0.0
6,0.3,0.01,10.110512644011203,2.3135757383750524,0.010068723030206169,0.010867828032603484,0.29365079365079366,0.2976190476190476,31,21,10,0.0024283252389158704,0.002397315007191945,0.003968253968253968,0.4990850518340051,0.7536440694306494,0.7896029090296501,1.236186451382694,-0.008383959887248493,0.03225806451612903,0.03225806451612903,0.03225806451612903
6,0.3,0.02,4.3344811073125324,1.466601904639595,0.020057535560172608,0.021655745564967237,0.3412698412698413,0.36507936507936506,136,81,55,0.010653297822340592,0.009749081029247243,0.05555555555555555,0.2887462224258056,0.765535511972987,0.8658200424769512,2.083160285118151,-0.0037336113980033225,0.051470588235294115,0.051470588235294115,0.051470588235294115
6,0.3,0.05,1.8660417256526662,0.6238194631894389,0.05002397315007192,0.08957967076873902,0.44047619047619047,0.5476190476190477,914,718,196,0.07159642801190663,0.06944222470832667,0.17857142857142858,0.5406347081163603,0.6686056370957326,0.70298592409388,2.9259427265683073,-8.58120836745857e-05,0.0032822757111597373,0.0032822757111597373,0.0032822757111597373
