target_name,model,requested_fpr,metric,n_repeats,mean,sd,median,q025,q975
FILD or FILA ADJUDICATED,combined,0.005,LR+,6,43.323527687358,21.845079691631987,50.311678062466726,16.07999469026259,64.57687946432468
FILD or FILA ADJUDICATED,combined,0.005,LR-,6,0.7873364610010213,0.1097579729074213,0.752227396469968,0.6805499908637107,0.9242261804551678
FILD or FILA ADJUDICATED,combined,0.005,threshold,10,0.6286551850382472,0.15494136234123712,0.709032404011046,0.4276946018133716,0.7992107056939816
FILD or FILA ADJUDICATED,combined,0.005,expected_fp,10,37.834999999999994,7.489778066296963e-15,37.835,37.835,37.835
FILD or FILA ADJUDICATED,combined,0.005,expected_tn,10,7529.164999999999,9.586915924860112e-13,7529.165,7529.165,7529.165
FILD or FILA ADJUDICATED,combined,0.005,expected_flags,10,66.10199999999999,16.28431951977798,58.252500000000005,50.06,90.16
FILD or FILA ADJUDICATED,combined,0.005,fpr,10,0.004999999999999999,9.14279549108516e-19,0.005,0.005,0.005
FILD or FILA ADJUDICATED,combined,0.005,tpr_upper,10,0.23590900849873697,0.10964574289429502,0.18474324029251926,0.12592661090472915,0.39608389096174984
FILD or FILA ADJUDICATED,combined,0.005,ppv_upper,10,0.5188975609737075,0.11995812148810081,0.48460750693798127,0.37797790670871045,0.6768249821608642
FILD or FILA ADJUDICATED,combined,0.005,acc_upper,10,0.9803220319018415,0.0023120641774605553,0.9792431159616587,0.9780028687960429,0.983699587638125
FILD or FILA ADJUDICATED,combined,0.005,npv_upper,10,0.9837538931484013,0.002296386340477642,0.9826798408616415,0.9814533197639251,0.9871118451946186
FILD or FILA ADJUDICATED,combined,0.005,LR+_upper,6,77.67888460685337,32.954655960144656,88.7401215212909,36.358534993341856,109.27297672322118
FILD or FILA ADJUDICATED,combined,0.005,LR-_upper,6,0.8424525178690829,0.09404184840378481,0.8142824383377466,0.7492665764510112,0.9588929441574888
FILD or FILA ADJUDICATED,combined,0.005,threshold_upper,10,0.6286551850382472,0.15494136234123712,0.709032404011046,0.4276946018133716,0.7992107056939816
FILD or FILA ADJUDICATED,combined,0.005,expected_fp_upper,10,37.834999999999994,7.489778066296963e-15,37.835,37.835,37.835
FILD or FILA ADJUDICATED,combined,0.005,expected_tn_upper,10,7529.164999999999,9.586915924860112e-13,7529.165,7529.165,7529.165
FILD or FILA ADJUDICATED,combined,0.005,expected_flags_upper,10,66.10199999999999,16.28431951977798,58.252500000000005,50.06,90.16
FILD or FILA ADJUDICATED,combined,0.005,fpr_lower,10,0.004999999999999999,9.14279549108516e-19,0.005,0.005,0.005
FILD or FILA ADJUDICATED,combined,0.005,tpr_lower,10,0.12596422880962363,0.08559220957103685,0.08303467975496893,0.04364430402654816,0.2541828927714875
FILD or FILA ADJUDICATED,combined,0.005,ppv_lower,10,0.29913838078084126,0.12904969100744917,0.26821070465007707,0.14931077361592587,0.4661493105780737
FILD or FILA ADJUDICATED,combined,0.005,acc_lower,10,0.974854452331067,0.0018048551306699843,0.9739492108697594,0.9731185988071808,0.9775581576642862
FILD or FILA ADJUDICATED,combined,0.005,npv_lower,10,0.9813980766727501,0.0017896128233461073,0.9804992225875783,0.9796784775376923,0.9840809983117577
FILD or FILA ADJUDICATED,combined,0.005,LR+_lower,6,23.81090346680647,13.616763804483043,27.8899838290408,6.951665414015514,37.30358433147656
FILD or FILA ADJUDICATED,combined,0.005,LR-_lower,6,0.7196972639164959,0.12045731155827966,0.6792684592176077,0.6042110729656852,0.8707441882319534
FILD or FILA ADJUDICATED,combined,0.005,threshold_lower,10,0.6286551850382472,0.15494136234123712,0.709032404011046,0.4276946018133716,0.7992107056939816
FILD or FILA ADJUDICATED,combined,0.005,expected_fp_lower,10,37.834999999999994,7.489778066296963e-15,37.835,37.835,37.835
FILD or FILA ADJUDICATED,combined,0.005,expected_tn_lower,10,7529.164999999999,9.586915924860112e-13,7529.165,7529.165,7529.165
FILD or FILA ADJUDICATED,combined,0.005,expected_flags_lower,10,66.10199999999999,16.28431951977798,58.252500000000005,50.06,90.16
FILD or FILA ADJUDICATED,combined,0.005,sensitivity,10,0.17341717791411043,0.09990380073483425,0.12526073619631903,0.075,0.32101226993865034
FILD or FILA ADJUDICATED,combined,0.005,specificity,10,0.9949999999999999,1.1702778228589004e-16,0.995,0.995,0.995
FILD or FILA ADJUDICATED,combined,0.01,tpr,10,0.2507239263803681,0.0945510738744928,0.2566564417177914,0.1254601226993865,0.3637684049079755
FILD or FILA ADJUDICATED,combined,0.01,ppv,10,0.33959325762648457,0.09080769636289458,0.3523172992884171,0.21179794965843812,0.4388250932835821
FILD or FILA ADJUDICATED,combined,0.01,acc,10,0.9744111254851229,0.001993767793213738,0.9745362225097023,0.9717697283311771,0.9767948576972831
FILD or FILA ADJUDICATED,combined,0.01,npv,10,0.9839620457673142,0.0019910435580708,0.9840834658280246,0.9813266764915024,0.9863456017245142
FILD or FILA ADJUDICATED,combined,0.01,LR+,7,25.88480154988699,9.888443133731855,26.790649531804974,12.454470813690667,36.45356437520181
