target_name,model,requested_fpr,LR+,LR-,acc,npv,ppv,sensitivity,specificity
FILD or FILA ADJUDICATED,zebra,0.005,"63.661 (54.558, 71.848)","0.685 (0.644, 0.731)","0.981 (0.980, 0.982)","0.985 (0.985, 0.986)","0.577 (0.540, 0.607)","0.318 (0.273, 0.359)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,zebra,0.01,,,"0.976 (0.976, 0.977)","0.986 (0.985, 0.986)","0.421 (0.400, 0.441)","0.338 (0.310, 0.365)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,zebra,0.02,"20.501 (19.364, 21.703)","0.602 (0.578, 0.625)","0.968 (0.967, 0.968)","0.987 (0.987, 0.988)","0.304 (0.294, 0.318)","0.407 (0.387, 0.433)","0.980 (0.980, 0.980)"
FILD or FILA ADJUDICATED,zebra,0.05,"9.693 (9.460, 9.926)","0.542 (0.530, 0.555)","0.940 (0.940, 0.941)","0.989 (0.988, 0.989)","0.175 (0.168, 0.184)","0.494 (0.468, 0.521)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,zebra,0.1,"5.947 (5.873, 6.067)","0.450 (0.437, 0.459)","0.894 (0.893, 0.895)","0.991 (0.990, 0.992)","0.115 (0.112, 0.122)","0.606 (0.584, 0.645)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,combined,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.037 (0.008, 0.106)","0.004 (0.000, 0.022)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,combined,0.005,,,"0.989 (0.989, 0.989)","0.994 (0.994, 0.994)","0.028 (0.008, 0.049)","0.015 (0.000, 0.043)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,combined,0.01,,,"0.984 (0.984, 0.985)","0.994 (0.994, 0.994)","0.024 (0.008, 0.045)","0.033 (0.000, 0.082)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,combined,0.02,"6.522 (6.522, 6.522)","0.887 (0.887, 0.887)","0.975 (0.974, 0.975)","0.994 (0.994, 0.995)","0.022 (0.008, 0.037)","0.063 (0.000, 0.130)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,combined,0.05,,,"0.945 (0.945, 0.946)","0.995 (0.994, 0.995)","0.019 (0.007, 0.027)","0.159 (0.053, 0.234)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,combined,0.1,"2.500 (1.364, 3.636)","0.833 (0.707, 0.960)","0.896 (0.895, 0.897)","0.995 (0.994, 0.996)","0.016 (0.007, 0.021)","0.272 (0.130, 0.386)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.021 (0.005, 0.098)","0.002 (0.000, 0.017)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.005,,,"0.989 (0.989, 0.989)","0.994 (0.994, 0.994)","0.011 (0.005, 0.026)","0.005 (0.000, 0.022)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.01,,,"0.984 (0.984, 0.984)","0.994 (0.994, 0.994)","0.010 (0.005, 0.024)","0.011 (0.000, 0.039)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.02,,,"0.974 (0.974, 0.974)","0.994 (0.994, 0.994)","0.008 (0.005, 0.014)","0.019 (0.000, 0.043)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.05,,,"0.945 (0.944, 0.945)","0.994 (0.994, 0.994)","0.007 (0.005, 0.009)","0.045 (0.005, 0.082)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,genomic,0.1,,,"0.895 (0.895, 0.895)","0.994 (0.994, 0.994)","0.006 (0.005, 0.008)","0.086 (0.032, 0.126)","0.900 (0.900, 0.900)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.001,,,"0.993 (0.993, 0.993)","0.994 (0.994, 0.994)","0.092 (0.072, 0.110)","0.017 (0.013, 0.021)","0.999 (0.999, 0.999)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.005,,,"0.990 (0.989, 0.990)","0.995 (0.994, 0.995)","0.092 (0.072, 0.110)","0.084 (0.064, 0.103)","0.995 (0.995, 0.995)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.01,"17.077 (13.115, 20.683)","0.838 (0.801, 0.878)","0.985 (0.985, 0.985)","0.995 (0.995, 0.995)","0.091 (0.072, 0.110)","0.168 (0.129, 0.206)","0.990 (0.990, 0.990)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.02,"10.870 (9.837, 11.902)","0.799 (0.778, 0.820)","0.975 (0.975, 0.976)","0.995 (0.995, 0.995)","0.057 (0.049, 0.067)","0.204 (0.174, 0.239)","0.980 (0.980, 0.980)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.05,"7.826 (7.826, 7.826)","0.641 (0.641, 0.641)","0.947 (0.946, 0.947)","0.996 (0.996, 0.997)","0.045 (0.037, 0.055)","0.398 (0.319, 0.485)","0.950 (0.950, 0.950)"
NON FIBROTIC ILA ADJUDICATED,zebra,0.1,"6.196 (6.092, 6.299)","0.423 (0.411, 0.434)","0.898 (0.898, 0.898)","0.997 (0.997, 0.998)","0.034 (0.032, 0.036)","0.596 (0.543, 0.630)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,combined,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.014 (0.004, 0.046)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,combined,0.005,"11.113 (11.113, 11.113)","0.949 (0.949, 0.949)","0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.011 (0.004, 0.023)","0.011 (0.000, 0.056)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,combined,0.01,,,"0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.009 (0.004, 0.013)","0.033 (0.000, 0.056)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,combined,0.02,,,"0.978 (0.978, 0.978)","0.998 (0.998, 0.998)","0.007 (0.004, 0.013)","0.051 (0.000, 0.111)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,combined,0.05,,,"0.948 (0.948, 0.948)","0.998 (0.998, 0.998)","0.006 (0.004, 0.009)","0.100 (0.012, 0.210)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,combined,0.1,,,"0.898 (0.898, 0.899)","0.998 (0.997, 0.998)","0.005 (0.003, 0.007)","0.228 (0.025, 0.333)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.003 (0.002, 0.005)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.005,,,"0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.003 (0.002, 0.005)","0.000 (0.000, 0.000)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.01,,,"0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.003 (0.002, 0.005)","0.000 (0.000, 0.000)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.02,,,"0.978 (0.978, 0.978)","0.998 (0.998, 0.998)","0.003 (0.002, 0.005)","0.011 (0.000, 0.056)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.05,,,"0.948 (0.948, 0.948)","0.998 (0.998, 0.998)","0.003 (0.002, 0.005)","0.044 (0.000, 0.111)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,genomic,0.1,,,"0.898 (0.898, 0.898)","0.998 (0.997, 0.998)","0.003 (0.002, 0.004)","0.089 (0.000, 0.210)","0.900 (0.900, 0.900)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.001,,,"0.997 (0.997, 0.997)","0.998 (0.998, 0.998)","0.032 (0.018, 0.045)","0.012 (0.005, 0.017)","0.999 (0.999, 0.999)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.005,,,"0.993 (0.993, 0.993)","0.998 (0.998, 0.998)","0.032 (0.018, 0.045)","0.058 (0.026, 0.086)","0.995 (0.995, 0.995)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.01,,,"0.988 (0.988, 0.988)","0.998 (0.998, 0.998)","0.032 (0.018, 0.045)","0.115 (0.051, 0.167)","0.990 (0.990, 0.990)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.02,,,"0.978 (0.978, 0.978)","0.998 (0.998, 0.998)","0.023 (0.015, 0.031)","0.194 (0.111, 0.278)","0.980 (0.980, 0.980)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.05,,,"0.949 (0.948, 0.949)","0.998 (0.998, 0.999)","0.016 (0.011, 0.020)","0.367 (0.235, 0.432)","0.950 (0.950, 0.950)"
NONFIBROTIC ILD ADJUDICATED,zebra,0.1,,,"0.899 (0.899, 0.899)","0.999 (0.998, 0.999)","0.011 (0.008, 0.014)","0.478 (0.346, 0.599)","0.900 (0.900, 0.900)"
