target_name,repeat,split_seed,model,bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
NONFIBROTIC ILD ADJUDICATED,18,1216535003,genomic,7,770,1,0.00464359436592558,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0021169484667307404,0.007410192871980297
NONFIBROTIC ILD ADJUDICATED,18,1216535003,genomic,8,769,3,0.011936211600422231,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.007412990196869536,0.018874635517318133
NONFIBROTIC ILD ADJUDICATED,18,1216535003,genomic,9,770,4,0.071980347935862,0.005194805194805195,0.0020219574690050306,0.013280219334419372,0.01893329148470799,0.9999859675900301
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,0,770,0,0.0002732180601400561,0.0,0.0,0.004964141914221508,0.00012514777981992146,0.0003524181331163114
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,1,769,0,0.0004206347573637026,0.0,0.0,0.004970565148712315,0.00035250133745955603,0.0004898887294650958
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,2,770,0,0.0005634559666567048,0.0,0.0,0.004964141914221508,0.0004900520410457235,0.0006413189996221576
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,3,769,2,0.0007439371385929817,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.0006415224816834219,0.0008492006873185594
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,4,770,2,0.0009829142843831792,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.0008495260610950888,0.0011444653885785564
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,5,769,1,0.0013868689659355927,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0011447153155979008,0.0017023725390592085
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,6,769,1,0.002194165389089526,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0017047889089904502,0.0029120189867739674
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,7,770,3,0.004683953448413373,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.0029124063873935987,0.007659144271172562
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,8,769,2,0.015394111726751187,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.0076618434182549305,0.028264418595128217
NONFIBROTIC ILD ADJUDICATED,18,1216535003,combined,9,770,5,0.10354850027612389,0.006493506493506494,0.0027767335367897463,0.01510995198893538,0.028276360488477044,0.662397161009004
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,0,770,0,0.23269559063733225,0.0,0.0,0.004964141914221508,0.11893743948205666,0.2612672167631389
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,1,769,0,0.28679229105841175,0.0,0.0,0.004970565148712315,0.2614461530736853,0.3130243882443571
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,2,770,0,0.3431335558004897,0.0,0.0,0.004964141914221508,0.3131465511809583,0.3751251044125535
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,3,769,0,0.4103714052682696,0.0,0.0,0.004970565148712315,0.3753587735507651,0.4469302128264848
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,4,770,1,0.49475047898388563,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.4471233481693568,0.5486677840936269
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,5,769,0,0.6112876031050812,0.0,0.0,0.004970565148712315,0.5487436964929875,0.6720257218332231
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,6,769,2,0.7375697781892403,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.6720448511931777,0.7965179914451949
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,7,770,3,0.8509729488091355,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.796567260782887,0.9049526949194308
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,8,769,2,0.9535135622007535,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.9050413322528538,0.9866728440156178
NONFIBROTIC ILD ADJUDICATED,19,792446869,zebra,9,770,8,0.9970155172627895,0.01038961038961039,0.005273784940225151,0.020366426752402144,0.986683171002475,1.0
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,0,770,3,8.05101348432811e-09,0.003896103896103896,0.0013258926936253902,0.011391775387498288,8.969580884557292e-11,1.6175619460112843e-08
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,1,769,0,2.857507998209175e-08,0.0,0.0,0.004970565148712315,1.6187480522464396e-08,4.4630396287644974e-08
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,2,770,3,6.34398297985425e-08,0.003896103896103896,0.0013258926936253902,0.011391775387498288,4.464098862774074e-08,8.399322776794354e-08
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,3,769,2,1.1208499461763443e-07,0.002600780234070221,0.0007135177289523901,0.009432753192718508,8.406299243616831e-08,1.4458582864535737e-07
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,4,770,2,1.9459804437518153e-07,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,1.446128596176492e-07,2.51175130846939e-07
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,5,769,3,3.34135104427113e-07,0.0039011703511053317,0.001327618000260774,0.011406505807889416,2.512535158241703e-07,4.492792434646993e-07
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,6,769,0,6.717470910426348e-07,0.0,0.0,0.004970565148712315,4.4928867382669815e-07,1.014820931731763e-06
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,7,770,0,2.438012409175038e-06,0.0,0.0,0.004964141914221508,1.0153784429166317e-06,6.552794306773172e-06
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,8,769,2,0.0002248379767655535,0.002600780234070221,0.0007135177289523901,0.009432753192718508,6.565791517919409e-06,0.0006627308512289154
NONFIBROTIC ILD ADJUDICATED,19,792446869,genomic,9,770,1,0.025335124997311713,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0006645658430053583,0.8919607018152126
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,0,770,2,0.0003087839082250311,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.00022284079050444806,0.00038519780932514986
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,1,769,0,0.0004496192816363467,0.0,0.0,0.004970565148712315,0.00038521284833548884,0.0005174158569890187
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,2,770,2,0.0005913193984475728,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.000517788814170599,0.0006640726016895564
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,3,769,2,0.0007465249739840047,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.0006641647001393823,0.000839631719896716
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,4,770,2,0.0009533511689060329,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.0008398862140268846,0.0010758313201306266
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,5,769,0,0.0012231035156799795,0.0,0.0,0.004970565148712315,0.001075926228197181,0.0013844352988273316
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,6,769,4,0.0016105425967699277,0.005201560468140442,0.0020245891497467933,0.013297387544882687,0.0013848711384705998,0.0018636956435442154
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,7,770,0,0.0022987879757129298,0.0,0.0,0.004964141914221508,0.0018649471108645648,0.0028967025541308975
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,8,769,3,0.004489746611183258,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.002902542720130343,0.008525547416194847
NONFIBROTIC ILD ADJUDICATED,19,792446869,combined,9,770,1,0.08317169920246936,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.008620546169251758,0.514738441986933
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,0,770,0,0.232643826644588,0.0,0.0,0.004964141914221508,0.11693488945217027,0.26122793947356854
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,1,769,0,0.2871687563496743,0.0,0.0,0.004970565148712315,0.26124029215840633,0.31443184115579403
NONFIBROTIC ILD ADJUDICATED,20,849958185,zebra,2,770,0,0.3465732220487098,0.0,0.0,0.004964141914221508,0.31447335332887394,0.3796100156881386
